,Date,MarketPredicted,Team,GameNumber,Regressor,Estimatororneigbor,BookiePrediction,TeamAvg10Games,OpponentAvg10Games,OpponentFormOver10Games,ModelScorePrediction,ModelResultPrediction,FormulaPrediction,RealScore,SystemResult,Gamenumberfor%,TotalGames,BetReturn,RunningTotalAll,BetReturn%,BetReturnWithoutNC,RunningTotalWithoutNC,TotalConclusives,TotalConclusiveGames,BetReturnWithoutNC%
63,2021-01-06,TeamScore,Boston Celtics,10,BayesianRidge,100,109,113.3,112.67,4.0,112.67,Over,Not conclusive,107,Incorrect,1,1,-1.0,-1.0,-100.0,,,0,0,
252,2021-01-06,TeamScore,Chicago Bulls,10,BayesianRidge,100,112,114.0,120.56,7.0,115.0,Over,Prediction is OVER 112,124,Correct,1,2,0.83,-0.17000000000000004,-8.5,0.83,0.83,1,1,83.0
756,2021-01-06,TeamScore,Los Angeles Clippers,10,BayesianRidge,100,119,110.84,117.89,5.0,110.56,Under,Not conclusive,108,Correct,1,3,0.83,0.6599999999999999,22.0,,0.83,0,1,83.0
126,2021-01-07,TeamScore,Brooklyn Nets,10,BayesianRidge,100,109,119.53,107.78,4.0,119.78,Over,Not conclusive,122,Correct,1,4,0.83,1.4899999999999998,37.25,,0.83,0,1,83.0
819,2021-01-07,TeamScore,Los Angeles Lakers,10,BayesianRidge,100,116,114.06,115.0,5.0,113.56,Under,Not conclusive,109,Correct,1,5,0.83,2.32,46.4,,0.83,0,1,83.0
315,2021-01-07,TeamScore,Cleveland Cavaliers,10,BayesianRidge,100,111,103.01,109.89,3.0,102.11,Under,Prediction is UNDER 111,94,Correct,1,6,0.83,3.15,52.5,0.83,1.66,1,2,83.0
1386,2021-01-07,TeamScore,Philadelphia 76ers,10,BayesianRidge,100,112,114.68,111.0,4.0,114.11,Over,Not conclusive,109,Incorrect,1,7,-1.0,2.15,30.71,,1.66,0,2,83.0
1827,2021-01-08,TeamScore,Washington Wizards,10,BayesianRidge,100,112,120.58,111.67,4.0,119.22,Over,Not conclusive,107,Incorrect,1,8,-1.0,1.15,14.37,,1.66,0,2,83.0
127,2021-01-08,TeamScore,Brooklyn Nets,11,BayesianRidge,100,116,119.68,108.0,3.0,118.8,Over,Not conclusive,110,Incorrect,1,9,-1.0,0.1499999999999999,1.67,,1.66,0,2,83.0
1764,2021-01-08,TeamScore,Utah Jazz,10,BayesianRidge,100,110,108.78,113.78,6.0,111.0,Over,Not conclusive,131,Correct,1,10,0.83,0.9799999999999999,9.8,,1.66,0,2,83.0
189,2021-01-08,TeamScore,Charlotte Hornets,10,BayesianRidge,100,106,106.77,106.56,5.0,107.89,Over,Not conclusive,118,Correct,1,11,0.83,1.8099999999999998,16.45,,1.66,0,2,83.0
253,2021-01-08,TeamScore,Chicago Bulls,11,BayesianRidge,100,105,115.0,106.6,5.0,115.0,Over,Not conclusive,115,Correct,1,12,0.83,2.6399999999999997,22.0,,1.66,0,2,83.0
1575,2021-01-08,TeamScore,Sacramento Kings,10,BayesianRidge,100,110,112.88,112.56,6.0,113.89,Over,Prediction is OVER 110,123,Correct,1,13,0.83,3.4699999999999998,26.69,0.83,2.4899999999999998,1,3,83.0
64,2021-01-08,TeamScore,Boston Celtics,11,BayesianRidge,100,119,112.7,122.7,7.0,113.0,Under,Not conclusive,116,Correct,1,14,0.83,4.3,30.71,,2.4899999999999998,0,3,83.0
1449,2021-01-08,TeamScore,Phoenix Suns,10,BayesianRidge,100,112,109.69,117.56,6.0,109.22,Under,Not conclusive,105,Correct,1,15,0.83,5.13,34.2,,2.4899999999999998,0,3,83.0
504,2021-01-08,TeamScore,Detroit Pistons,10,BayesianRidge,100,102,111.48,103.22,3.0,111.33,Over,Not conclusive,110,Correct,1,16,0.83,5.96,37.25,,2.4899999999999998,0,3,83.0
1323,2021-01-08,TeamScore,Orlando Magic,10,BayesianRidge,100,112,109.75,113.22,6.0,107.78,Under,Not conclusive,90,Correct,1,17,0.83,6.79,39.94,,2.4899999999999998,0,3,83.0
1008,2021-01-08,TeamScore,Milwaukee Bucks,10,BayesianRidge,100,116,125.16,111.11,4.0,124.44,Over,Not conclusive,118,Correct,1,18,0.83,7.62,42.33,,2.4899999999999998,0,3,83.0
1134,2021-01-08,TeamScore,New Orleans Pelicans,10,BayesianRidge,100,111,106.79,110.0,3.0,107.11,Under,Prediction is UNDER 111,110,Correct,1,19,0.83,8.45,44.47,0.83,3.32,1,4,83.0
1197,2021-01-08,TeamScore,New York Knicks,10,BayesianRidge,100,105,104.19,108.89,5.0,102.67,Under,Not conclusive,89,Correct,1,20,0.83,9.28,46.4,,3.32,0,4,83.0
882,2021-01-08,TeamScore,Memphis Grizzlies,10,BayesianRidge,100,112,104.88,111.0,4.0,105.89,Under,Prediction is UNDER 112,115,Incorrect,1,21,-1.0,8.28,39.43,-1.0,2.32,1,5,46.4
820,2021-01-08,TeamScore,Los Angeles Lakers,11,BayesianRidge,100,117,113.59,120.2,7.0,113.9,Under,Not conclusive,117,Incorrect,1,22,-1.0,7.279999999999999,33.09,,2.32,0,5,46.4
757,2021-01-08,TeamScore,Los Angeles Clippers,11,BayesianRidge,100,119,110.5,116.6,5.0,110.0,Under,Not conclusive,105,Correct,1,23,0.83,8.11,35.26,,2.32,0,5,46.4
567,2021-01-08,TeamScore,Golden State Warriors,10,BayesianRidge,100,107,114.51,108.56,3.0,114.56,Over,Not conclusive,115,Correct,1,24,0.83,8.94,37.25,,2.32,0,5,46.4
1828,2021-01-09,TeamScore,Washington Wizards,11,BayesianRidge,100,111,119.27,113.9,5.0,119.7,Over,Not conclusive,124,Correct,1,25,0.83,9.77,39.08,,2.32,0,5,46.4
1009,2021-01-09,TeamScore,Milwaukee Bucks,11,BayesianRidge,100,116,124.2,103.0,3.0,122.0,Over,Not conclusive,100,Incorrect,1,26,-1.0,8.77,33.73,,2.32,0,5,46.4
190,2021-01-09,TeamScore,Charlotte Hornets,11,BayesianRidge,100,111,107.94,109.5,4.0,108.4,Under,Prediction is UNDER 111,113,Incorrect,1,27,-1.0,7.77,28.78,-1.0,1.3199999999999998,1,6,22.0
1387,2021-01-09,TeamScore,Philadelphia 76ers,11,BayesianRidge,100,118,114.0,112.8,5.0,113.0,Under,Not conclusive,103,Correct,1,28,0.83,8.6,30.71,,1.3199999999999998,0,6,22.0
1638,2021-01-09,TeamScore,San Antonio Spurs,10,BayesianRidge,100,121,112.41,122.22,7.0,113.67,Under,Not conclusive,125,Incorrect,1,29,-1.0,7.6,26.21,,1.3199999999999998,0,6,22.0
378,2021-01-09,TeamScore,Dallas Mavericks,10,BayesianRidge,100,112,109.78,108.89,4.0,110.0,Under,Prediction is UNDER 112,112,Incorrect,1,30,-1.0,6.6,22.0,-1.0,0.31999999999999984,1,7,4.57
1576,2021-01-09,TeamScore,Sacramento Kings,11,BayesianRidge,100,118,113.74,115.4,5.0,112.4,Under,Not conclusive,99,Correct,1,31,0.83,7.43,23.97,,0.31999999999999984,0,7,4.57
1324,2021-01-09,TeamScore,Orlando Magic,11,BayesianRidge,100,107,107.68,104.4,4.0,106.8,Under,Not conclusive,98,Correct,1,32,0.83,8.26,25.81,,0.31999999999999984,0,7,4.57
441,2021-01-09,TeamScore,Denver Nuggets,10,BayesianRidge,100,111,116.98,107.78,4.0,116.78,Over,Not conclusive,115,Correct,1,33,0.83,9.09,27.55,,0.31999999999999984,0,7,4.57
1512,2021-01-09,TeamScore,Portland Trail Blazers,10,BayesianRidge,100,121,117.1,120.56,7.0,117.89,Under,Not conclusive,125,Incorrect,1,34,-1.0,8.09,23.79,,0.31999999999999984,0,7,4.57
693,2021-01-09,TeamScore,Indiana Pacers,10,BayesianRidge,100,110,114.78,103.22,3.0,115.0,Over,Not conclusive,117,Correct,1,35,0.83,8.92,25.49,,0.31999999999999984,0,7,4.57
1450,2021-01-09,TeamScore,Phoenix Suns,11,BayesianRidge,100,107,109.38,111.6,6.0,110.8,Over,Prediction is OVER 107,125,Correct,1,36,0.83,9.75,27.08,0.83,1.15,1,8,14.37
316,2021-01-09,TeamScore,Cleveland Cavaliers,11,BayesianRidge,100,107,101.99,111.4,6.0,100.9,Under,Not conclusive,90,Correct,1,37,0.83,10.58,28.59,,1.15,0,8,14.37
0,2021-01-09,TeamScore,Atlanta Hawks,10,BayesianRidge,100,114,115.12,110.0,3.0,114.11,Over,Not conclusive,105,Incorrect,1,38,-1.0,9.58,25.21,,1.15,0,8,14.37
1071,2021-01-09,TeamScore,Minnesota Timberwolves,10,BayesianRidge,100,112,108.91,115.0,5.0,110.22,Under,Not conclusive,122,Incorrect,1,39,-1.0,8.58,22.0,,1.15,0,8,14.37
442,2021-01-10,TeamScore,Denver Nuggets,11,BayesianRidge,100,107,116.75,105.1,2.0,116.5,Over,Not conclusive,114,Correct,1,40,0.83,9.41,23.53,,1.15,0,8,14.37
254,2021-01-10,TeamScore,Chicago Bulls,12,BayesianRidge,100,108,116.33,111.0,5.0,117.3,Over,Not conclusive,127,Correct,1,41,0.83,10.24,24.98,,1.15,0,8,14.37
128,2021-01-10,TeamScore,Brooklyn Nets,12,BayesianRidge,100,115,118.09,111.3,6.0,117.9,Over,Not conclusive,116,Correct,1,42,0.83,11.07,26.36,,1.15,0,8,14.37
1765,2021-01-10,TeamScore,Utah Jazz,11,BayesianRidge,100,115,110.85,115.4,6.0,109.5,Under,Not conclusive,96,Correct,1,43,0.83,11.9,27.67,,1.15,0,8,14.37
1701,2021-01-10,TeamScore,Toronto Raptors,10,BayesianRidge,100,115,111.79,117.89,5.0,111.11,Under,Not conclusive,105,Correct,1,44,0.83,12.73,28.93,,1.15,0,8,14.37
758,2021-01-10,TeamScore,Los Angeles Clippers,12,BayesianRidge,100,116,109.54,120.8,7.0,111.4,Under,Not conclusive,130,Incorrect,1,45,-1.0,11.73,26.07,,1.15,0,8,14.37
1639,2021-01-10,TeamScore,San Antonio Spurs,11,BayesianRidge,100,121,113.41,118.8,7.0,111.1,Under,Not conclusive,88,Correct,1,46,0.83,12.56,27.3,,1.15,0,8,14.37
821,2021-01-10,TeamScore,Los Angeles Lakers,12,BayesianRidge,100,111,114.5,109.9,5.0,115.0,Over,Not conclusive,120,Correct,1,47,0.83,13.39,28.49,,1.15,0,8,14.37
1072,2021-01-10,TeamScore,Minnesota Timberwolves,11,BayesianRidge,100,113,110.08,113.1,5.0,108.8,Under,Not conclusive,96,Correct,1,48,0.83,14.22,29.62,,1.15,0,8,14.37
1198,2021-01-10,TeamScore,New York Knicks,11,BayesianRidge,100,109,102.53,112.8,5.0,101.3,Under,Not conclusive,89,Correct,1,49,0.83,15.05,30.71,,1.15,0,8,14.37
568,2021-01-10,TeamScore,Golden State Warriors,11,BayesianRidge,100,113,114.47,112.5,6.0,113.7,Over,Not conclusive,106,Incorrect,1,50,-1.0,14.05,28.1,,1.15,0,8,14.37
505,2021-01-10,TeamScore,Detroit Pistons,11,BayesianRidge,100,111,111.08,108.6,4.0,108.8,Under,Not conclusive,86,Correct,1,51,0.83,14.88,29.18,,1.15,0,8,14.37
1260,2021-01-10,TeamScore,Oklahoma City Thunder,10,BayesianRidge,100,107,102.21,111.0,4.0,104.89,Under,Not conclusive,129,Incorrect,1,52,-1.0,13.88,26.69,,1.15,0,8,14.37
1,2021-01-11,TeamScore,Atlanta Hawks,11,BayesianRidge,100,112,114.09,108.5,5.0,113.9,Over,Not conclusive,112,Incorrect,1,53,-1.0,12.88,24.3,,1.15,0,8,14.37
1325,2021-01-11,TeamScore,Orlando Magic,12,BayesianRidge,100,110,106.04,109.1,5.0,105.4,Under,Not conclusive,99,Correct,1,54,0.83,13.71,25.39,,1.15,0,8,14.37
191,2021-01-11,TeamScore,Charlotte Hornets,12,BayesianRidge,100,104,107.79,103.9,2.0,107.9,Over,Not conclusive,109,Correct,1,55,0.83,14.540000000000001,26.44,,1.15,0,8,14.37
