,Date,MarketPredicted,Team,GameNumber,Regressor,Estimatororneigbor,BookiePrediction,TeamAvg10Games,OpponentAvg10Games,OpponentFormOver10Games,ModelScorePrediction,ModelResultPrediction,FormulaPrediction,RealScore,SystemResult,Gamenumberfor%,TotalGames,BetReturn,RunningTotalAll,BetReturn%,BetReturnWithoutNC,RunningTotalWithoutNC,TotalConclusives,TotalConclusiveGames,BetReturnWithoutNC%
63,2021-01-06,TeamScore,Boston Celtics,10,KNeighborsRegressor,5,109,113.3,112.67,4.0,111.33,Over,Not conclusive,107,Incorrect,1,1,-1.0,-1.0,-100.0,,,0,0,
252,2021-01-06,TeamScore,Chicago Bulls,10,KNeighborsRegressor,5,112,114.0,120.56,7.0,112.6,Over,Prediction is OVER 112,124,Correct,1,2,0.83,-0.17000000000000004,-8.5,0.83,0.83,1,1,83.0
756,2021-01-06,TeamScore,Los Angeles Clippers,10,KNeighborsRegressor,5,119,110.84,117.89,5.0,119.31,Over,Not conclusive,108,Incorrect,1,3,-1.0,-1.17,-39.0,,0.83,0,1,83.0
126,2021-01-07,TeamScore,Brooklyn Nets,10,KNeighborsRegressor,5,109,119.53,107.78,4.0,121.76,Over,Not conclusive,122,Correct,1,4,0.83,-0.33999999999999997,-8.5,,0.83,0,1,83.0
819,2021-01-07,TeamScore,Los Angeles Lakers,10,KNeighborsRegressor,5,116,114.06,115.0,5.0,115.51,Under,Not conclusive,109,Correct,1,5,0.83,0.49,9.8,,0.83,0,1,83.0
315,2021-01-07,TeamScore,Cleveland Cavaliers,10,KNeighborsRegressor,5,111,103.01,109.89,3.0,106.82,Under,Prediction is UNDER 111,94,Correct,1,6,0.83,1.3199999999999998,22.0,0.83,1.66,1,2,83.0
1386,2021-01-07,TeamScore,Philadelphia 76ers,10,KNeighborsRegressor,5,112,114.68,111.0,4.0,114.02,Over,Not conclusive,109,Incorrect,1,7,-1.0,0.31999999999999984,4.57,,1.66,0,2,83.0
1827,2021-01-08,TeamScore,Washington Wizards,10,KNeighborsRegressor,5,112,120.58,111.67,4.0,118.44,Over,Not conclusive,107,Incorrect,1,8,-1.0,-0.6800000000000002,-8.5,,1.66,0,2,83.0
127,2021-01-08,TeamScore,Brooklyn Nets,11,KNeighborsRegressor,5,116,119.68,108.0,3.0,121.36,Over,Not conclusive,110,Incorrect,1,9,-1.0,-1.6800000000000002,-18.67,,1.66,0,2,83.0
1764,2021-01-08,TeamScore,Utah Jazz,10,KNeighborsRegressor,5,110,108.78,113.78,6.0,116.4,Over,Not conclusive,131,Correct,1,10,0.83,-0.8500000000000002,-8.5,,1.66,0,2,83.0
189,2021-01-08,TeamScore,Charlotte Hornets,10,KNeighborsRegressor,5,106,106.77,106.56,5.0,107.98,Over,Not conclusive,118,Correct,1,11,0.83,-0.02000000000000024,-0.18,,1.66,0,2,83.0
253,2021-01-08,TeamScore,Chicago Bulls,11,KNeighborsRegressor,5,105,115.0,106.6,5.0,110.8,Over,Not conclusive,115,Correct,1,12,0.83,0.8099999999999997,6.75,,1.66,0,2,83.0
1575,2021-01-08,TeamScore,Sacramento Kings,10,KNeighborsRegressor,5,110,112.88,112.56,6.0,112.78,Over,Prediction is OVER 110,123,Correct,1,13,0.83,1.6399999999999997,12.62,0.83,2.4899999999999998,1,3,83.0
64,2021-01-08,TeamScore,Boston Celtics,11,KNeighborsRegressor,5,119,112.7,122.7,7.0,119.8,Over,Not conclusive,116,Incorrect,1,14,-1.0,0.6399999999999997,4.57,,2.4899999999999998,0,3,83.0
1449,2021-01-08,TeamScore,Phoenix Suns,10,KNeighborsRegressor,5,112,109.69,117.56,6.0,108.84,Under,Not conclusive,105,Correct,1,15,0.83,1.4699999999999998,9.8,,2.4899999999999998,0,3,83.0
