,Date,MarketPredicted,Team,GameNumber,Regressor,Estimatororneigbor,BookiePrediction,TeamAvg10Games,OpponentAvg10Games,OpponentFormOver10Games,ModelScorePrediction,ModelResultPrediction,FormulaPrediction,RealScore,SystemResult,Gamenumberfor%,TotalGames,BetReturn,RunningTotalAll,BetReturn%,BetReturnWithoutNC,RunningTotalWithoutNC,TotalConclusives,TotalConclusiveGames,BetReturnWithoutNC%
63,2021-01-06,TeamScore,Boston Celtics,10,RandomForestRegressor,15,109,113.3,112.67,4.0,110.49,Over,Not conclusive,107,Incorrect,1,1,-1.0,-1.0,-100.0,,,0,0,
252,2021-01-06,TeamScore,Chicago Bulls,10,RandomForestRegressor,15,112,114.0,120.56,7.0,116.07,Over,Prediction is OVER 112,124,Correct,1,2,0.83,-0.17000000000000004,-8.5,0.83,0.83,1,1,83.0
756,2021-01-06,TeamScore,Los Angeles Clippers,10,RandomForestRegressor,15,119,110.84,117.89,5.0,116.36,Under,Not conclusive,108,Correct,1,3,0.83,0.6599999999999999,22.0,,0.83,0,1,83.0
126,2021-01-07,TeamScore,Brooklyn Nets,10,RandomForestRegressor,15,109,119.53,107.78,4.0,122.88,Over,Not conclusive,122,Correct,1,4,0.83,1.4899999999999998,37.25,,0.83,0,1,83.0
819,2021-01-07,TeamScore,Los Angeles Lakers,10,RandomForestRegressor,15,116,114.06,115.0,5.0,115.23,Under,Not conclusive,109,Correct,1,5,0.83,2.32,46.4,,0.83,0,1,83.0
315,2021-01-07,TeamScore,Cleveland Cavaliers,10,RandomForestRegressor,15,111,103.01,109.89,3.0,103.33,Under,Prediction is UNDER 111,94,Correct,1,6,0.83,3.15,52.5,0.83,1.66,1,2,83.0
1386,2021-01-07,TeamScore,Philadelphia 76ers,10,RandomForestRegressor,15,112,114.68,111.0,4.0,114.39,Over,Not conclusive,109,Incorrect,1,7,-1.0,2.15,30.71,,1.66,0,2,83.0
1827,2021-01-08,TeamScore,Washington Wizards,10,RandomForestRegressor,15,112,120.58,111.67,4.0,117.32,Over,Not conclusive,107,Incorrect,1,8,-1.0,1.15,14.37,,1.66,0,2,83.0
127,2021-01-08,TeamScore,Brooklyn Nets,11,RandomForestRegressor,15,116,119.68,108.0,3.0,119.93,Over,Not conclusive,110,Incorrect,1,9,-1.0,0.1499999999999999,1.67,,1.66,0,2,83.0
1764,2021-01-08,TeamScore,Utah Jazz,10,RandomForestRegressor,15,110,108.78,113.78,6.0,113.67,Over,Not conclusive,131,Correct,1,10,0.83,0.9799999999999999,9.8,,1.66,0,2,83.0
189,2021-01-08,TeamScore,Charlotte Hornets,10,RandomForestRegressor,15,106,106.77,106.56,5.0,106.54,Over,Not conclusive,118,Correct,1,11,0.83,1.8099999999999998,16.45,,1.66,0,2,83.0
253,2021-01-08,TeamScore,Chicago Bulls,11,RandomForestRegressor,15,105,115.0,106.6,5.0,114.8,Over,Not conclusive,115,Correct,1,12,0.83,2.6399999999999997,22.0,,1.66,0,2,83.0
1575,2021-01-08,TeamScore,Sacramento Kings,10,RandomForestRegressor,15,110,112.88,112.56,6.0,115.34,Over,Prediction is OVER 110,123,Correct,1,13,0.83,3.4699999999999998,26.69,0.83,2.4899999999999998,1,3,83.0
64,2021-01-08,TeamScore,Boston Celtics,11,RandomForestRegressor,15,119,112.7,122.7,7.0,115.47,Under,Not conclusive,116,Correct,1,14,0.83,4.3,30.71,,2.4899999999999998,0,3,83.0
1449,2021-01-08,TeamScore,Phoenix Suns,10,RandomForestRegressor,15,112,109.69,117.56,6.0,110.65,Under,Not conclusive,105,Correct,1,15,0.83,5.13,34.2,,2.4899999999999998,0,3,83.0
504,2021-01-08,TeamScore,Detroit Pistons,10,RandomForestRegressor,15,102,111.48,103.22,3.0,111.18,Over,Not conclusive,110,Correct,1,16,0.83,5.96,37.25,,2.4899999999999998,0,3,83.0
1323,2021-01-08,TeamScore,Orlando Magic,10,RandomForestRegressor,15,112,109.75,113.22,6.0,110.61,Under,Not conclusive,90,Correct,1,17,0.83,6.79,39.94,,2.4899999999999998,0,3,83.0
1008,2021-01-08,TeamScore,Milwaukee Bucks,10,RandomForestRegressor,15,116,125.16,111.11,4.0,123.24,Over,Not conclusive,118,Correct,1,18,0.83,7.62,42.33,,2.4899999999999998,0,3,83.0
1134,2021-01-08,TeamScore,New Orleans Pelicans,10,RandomForestRegressor,15,111,106.79,110.0,3.0,107.13,Under,Prediction is UNDER 111,110,Correct,1,19,0.83,8.45,44.47,0.83,3.32,1,4,83.0
1197,2021-01-08,TeamScore,New York Knicks,10,RandomForestRegressor,15,105,104.19,108.89,5.0,106.42,Over,Not conclusive,89,Incorrect,1,20,-1.0,7.449999999999999,37.25,,3.32,0,4,83.0
882,2021-01-08,TeamScore,Memphis Grizzlies,10,RandomForestRegressor,15,112,104.88,111.0,4.0,107.94,Under,Prediction is UNDER 112,115,Incorrect,1,21,-1.0,6.449999999999999,30.71,-1.0,2.32,1,5,46.4
820,2021-01-08,TeamScore,Los Angeles Lakers,11,RandomForestRegressor,15,117,113.59,120.2,7.0,113.07,Under,Not conclusive,117,Incorrect,1,22,-1.0,5.449999999999999,24.77,,2.32,0,5,46.4
757,2021-01-08,TeamScore,Los Angeles Clippers,11,RandomForestRegressor,15,119,110.5,116.6,5.0,112.87,Under,Not conclusive,105,Correct,1,23,0.83,6.279999999999999,27.3,,2.32,0,5,46.4
567,2021-01-08,TeamScore,Golden State Warriors,10,RandomForestRegressor,15,107,114.51,108.56,3.0,110.03,Over,Not conclusive,115,Correct,1,24,0.83,7.109999999999999,29.62,,2.32,0,5,46.4
