,Date,MarketPredicted,Team,GameNumber,Regressor,Estimatororneigbor,BookiePrediction,TeamAvg10Games,OpponentAvg10Games,OpponentFormOver10Games,ModelScorePrediction,ModelResultPrediction,FormulaPrediction,RealScore,SystemResult,Gamenumberfor%,TotalGames,BetReturn,RunningTotalAll,BetReturn%,BetReturnWithoutNC,RunningTotalWithoutNC,TotalConclusives,TotalConclusiveGames,BetReturnWithoutNC%
0,2021-01-09,TeamScore,Atlanta Hawks,10,DecisionTreeRegressor,mse,114,115.12,110.0,3.0,114.11,Over,Not conclusive,105,Incorrect,1,1,-1.0,-1.0,-100.0,,,0,0,
1,2021-01-11,TeamScore,Atlanta Hawks,11,DecisionTreeRegressor,mse,112,114.09,108.5,5.0,113.9,Over,Not conclusive,112,Incorrect,1,2,-1.0,-2.0,-100.0,,,0,0,
2,2021-01-15,TeamScore,Atlanta Hawks,12,DecisionTreeRegressor,mse,110,112.57,107.3,4.0,110.7,Over,Not conclusive,92,Incorrect,1,3,-1.0,-3.0,-100.0,,,0,0,
3,2021-01-16,TeamScore,Atlanta Hawks,13,DecisionTreeRegressor,mse,115,109.41,114.5,4.0,109.1,Under,Prediction is UNDER 115,106,Correct,1,4,0.83,-2.17,-54.25,0.83,0.83,1,1,83.0
4,2021-01-18,TeamScore,Atlanta Hawks,14,DecisionTreeRegressor,mse,118,107.01,117.2,7.0,107.1,Under,Not conclusive,108,Correct,1,5,0.83,-1.3399999999999999,-26.8,,0.83,0,1,83.0
5,2021-01-20,TeamScore,Atlanta Hawks,15,DecisionTreeRegressor,mse,112,103.53,111.7,5.0,105.3,Under,Not conclusive,123,Incorrect,1,6,-1.0,-2.34,-39.0,,0.83,0,1,83.0
6,2021-01-22,TeamScore,Atlanta Hawks,16,DecisionTreeRegressor,mse,118,104.45,114.4,5.0,105.5,Under,Not conclusive,116,Correct,1,7,0.83,-1.5099999999999998,-21.57,,0.83,0,1,83.0
7,2021-01-24,TeamScore,Atlanta Hawks,17,DecisionTreeRegressor,mse,111,107.19,111.3,6.0,107.9,Under,Not conclusive,115,Incorrect,1,8,-1.0,-2.51,-31.37,,0.83,0,1,83.0
8,2021-01-26,TeamScore,Atlanta Hawks,18,DecisionTreeRegressor,mse,107,107.89,106.3,4.0,107.9,Over,Not conclusive,108,Correct,1,9,0.83,-1.6799999999999997,-18.67,,0.83,0,1,83.0
9,2021-01-27,TeamScore,Atlanta Hawks,19,DecisionTreeRegressor,mse,117,109.63,121.2,9.0,111.3,Under,Not conclusive,128,Incorrect,1,10,-1.0,-2.6799999999999997,-26.8,,0.83,0,1,83.0
10,2021-01-29,TeamScore,Atlanta Hawks,20,DecisionTreeRegressor,mse,118,112.04,120.3,6.0,112.4,Under,Not conclusive,116,Correct,1,11,0.83,-1.8499999999999996,-16.82,,0.83,0,1,83.0
11,2021-02-01,TeamScore,Atlanta Hawks,21,DecisionTreeRegressor,mse,106,112.31,102.9,4.0,111.1,Over,Not conclusive,99,Incorrect,1,12,-1.0,-2.8499999999999996,-23.75,,0.83,0,1,83.0
12,2021-02-03,TeamScore,Atlanta Hawks,22,DecisionTreeRegressor,mse,113,113.25,116.8,9.0,113.5,Over,Prediction is OVER 113,116,Correct,1,13,0.83,-2.0199999999999996,-15.54,0.83,1.66,1,2,83.0
13,2021-02-04,TeamScore,Atlanta Hawks,23,DecisionTreeRegressor,mse,107,114.1,105.6,4.0,112.0,Over,Not conclusive,91,Incorrect,1,14,-1.0,-3.0199999999999996,-21.57,,1.66,0,2,83.0
14,2021-02-06,TeamScore,Atlanta Hawks,24,DecisionTreeRegressor,mse,112,112.64,112.3,5.0,114.4,Over,Not conclusive,132,Correct,1,15,0.83,-2.1899999999999995,-14.6,,1.66,0,2,83.0
15,2021-02-10,TeamScore,Atlanta Hawks,25,DecisionTreeRegressor,mse,114,113.48,121.8,9.0,113.8,Under,Not conclusive,117,Incorrect,1,16,-1.0,-3.1899999999999995,-19.94,,1.66,0,2,83.0
16,2021-02-12,TeamScore,Atlanta Hawks,26,DecisionTreeRegressor,mse,114,113.56,112.8,5.0,113.6,Under,Not conclusive,114,Incorrect,1,17,-1.0,-4.1899999999999995,-24.65,,1.66,0,2,83.0
17,2021-02-13,TeamScore,Atlanta Hawks,27,DecisionTreeRegressor,mse,115,113.44,110.9,5.0,113.4,Under,Not conclusive,113,Correct,1,18,0.83,-3.3599999999999994,-18.67,,1.66,0,2,83.0
18,2021-02-15,TeamScore,Atlanta Hawks,28,DecisionTreeRegressor,mse,103,113.98,104.4,5.0,113.8,Over,Not conclusive,112,Correct,1,19,0.83,-2.5299999999999994,-13.32,,1.66,0,2,83.0
19,2021-02-17,TeamScore,Atlanta Hawks,29,DecisionTreeRegressor,mse,107,112.32,109.9,7.0,113.2,Over,Prediction is OVER 107,122,Correct,1,20,0.83,-1.6999999999999993,-8.5,0.83,2.4899999999999998,1,3,83.0
20,2021-02-19,TeamScore,Atlanta Hawks,30,DecisionTreeRegressor,mse,107,112.85,110.1,8.0,112.5,Over,Prediction is OVER 107,109,Correct,1,21,0.83,-0.8699999999999993,-4.14,0.83,3.32,1,4,83.0
21,2021-02-21,TeamScore,Atlanta Hawks,31,DecisionTreeRegressor,mse,113,114.09,112.1,6.0,114.9,Over,Not conclusive,123,Correct,1,22,0.83,-0.03999999999999937,-0.18,,3.32,0,4,83.0
22,2021-02-23,TeamScore,Atlanta Hawks,32,DecisionTreeRegressor,mse,114,114.74,124.3,10.0,114.4,Over,Prediction is OVER 114,111,Incorrect,1,23,-1.0,-1.0399999999999994,-4.52,-1.0,2.32,1,5,46.4
23,2021-02-24,TeamScore,Atlanta Hawks,33,DecisionTreeRegressor,mse,109,117.1,112.7,8.0,118.0,Over,Prediction is OVER 109,127,Correct,1,24,0.83,-0.2099999999999994,-0.87,0.83,3.15,1,6,52.5
24,2021-02-26,TeamScore,Atlanta Hawks,34,DecisionTreeRegressor,mse,112,116.37,107.2,3.0,115.7,Over,Not conclusive,109,Incorrect,1,25,-1.0,-1.2099999999999995,-4.84,,3.15,0,6,52.5
25,2021-02-28,TeamScore,Atlanta Hawks,35,DecisionTreeRegressor,mse,109,115.39,107.2,4.0,113.9,Over,Not conclusive,99,Incorrect,1,26,-1.0,-2.2099999999999995,-8.5,,3.15,0,6,52.5
26,2021-03-02,TeamScore,Atlanta Hawks,36,DecisionTreeRegressor,mse,109,113.69,107.2,4.0,111.9,Over,Not conclusive,94,Incorrect,1,27,-1.0,-3.2099999999999995,-11.89,,3.15,0,6,52.5
27,2021-03-03,TeamScore,Atlanta Hawks,37,DecisionTreeRegressor,mse,113,111.81,112.9,5.0,112.1,Under,Not conclusive,115,Incorrect,1,28,-1.0,-4.209999999999999,-15.04,,3.15,0,6,52.5
28,2021-03-11,TeamScore,Atlanta Hawks,38,DecisionTreeRegressor,mse,111,112.2,111.1,5.0,113.0,Over,Not conclusive,121,Correct,1,29,0.83,-3.379999999999999,-11.66,,3.15,0,6,52.5
29,2021-03-13,TeamScore,Atlanta Hawks,39,DecisionTreeRegressor,mse,120,112.09,122.0,8.0,112.9,Under,Not conclusive,121,Incorrect,1,30,-1.0,-4.379999999999999,-14.6,,3.15,0,6,52.5
30,2021-03-14,TeamScore,Atlanta Hawks,40,DecisionTreeRegressor,mse,114,113.2,108.6,5.0,112.0,Under,Not conclusive,100,Correct,1,31,0.83,-3.549999999999999,-11.45,,3.15,0,6,52.5
31,2021-03-16,TeamScore,Atlanta Hawks,41,DecisionTreeRegressor,mse,113,110.86,120.1,7.0,111.6,Under,Not conclusive,119,Incorrect,1,32,-1.0,-4.549999999999999,-14.22,,3.15,0,6,52.5
32,2021-03-18,TeamScore,Atlanta Hawks,42,DecisionTreeRegressor,mse,112,111.71,111.1,5.0,112.1,Over,Not conclusive,116,Correct,1,33,0.83,-3.719999999999999,-11.27,,3.15,0,6,52.5
33,2021-03-20,TeamScore,Atlanta Hawks,43,DecisionTreeRegressor,mse,107,110.33,105.7,5.0,109.3,Over,Not conclusive,99,Incorrect,1,34,-1.0,-4.719999999999999,-13.88,,3.15,0,6,52.5
34,2021-03-22,TeamScore,Atlanta Hawks,44,DecisionTreeRegressor,mse,109,109.34,110.3,4.0,109.4,Over,Not conclusive,110,Correct,1,35,0.83,-3.889999999999999,-11.11,,3.15,0,6,52.5
