,,,,,,,,,
,,,,,,,,,
Dif Prediction,POINTS,OVER,UNDER,,,Dif Prediction,POINTS,OVER,UNDER
-25,84.5,1.01,15,,,-25,79.5,1.01,15
-24,85.5,,,,,-24,80.5,,
-23,86.5,,,,,-23,81.5,,
-22,87.5,,,,,-22,82.5,,
-21,88.5,1.02,10.5,,,-21,83.5,1.02,10.5
-20,89.5,1.03,9.5,,,-20,84.5,1.03,9.5
-19,90.5,1.04,8.75,,,-19,85.5,1.04,8.75
-18,91.5,,,,,-18,86.5,,
-17,92.5,1.06,8,,,-17,87.5,1.06,8
-16,93.5,,,,,-16,88.5,,
-15,94.5,1.09,6.75,,,-15,89.5,1.09,6.75
-14,95.5,,,,,-14,90.5,,
-13,96.5,1.13,5.25,,,-13,91.5,1.13,5.25
-12,97.5,,,,,-12,92.5,,
-11,98.5,1.18,4.4,,,-11,93.5,1.18,4.4
-10,99.5,1.21,4.25,,,-10,94.5,1.21,4.25
-9,100.5,1.25,,,,-9,95.5,1.25,
-8,101.5,,,,,-8,96.5,,
-7,102.5,1.33,3.25,,,-7,97.5,1.33,3.25
-6,103.5,,,,,-6,98.5,,
-5,104.5,1.43,2.65,,,-5,99.5,1.43,2.65
-4,105.5,,,,,-4,100.5,,
-3,106.5,1.57,2.25,,,-3,101.5,1.57,2.25
-2,107.5,,,,,-2,102.5,,
-1,108.5,,,,,-1,103.5,,
Prediction,109.5,1.83,1.83,,,Prediction,104.5,1.83,1.83
1,110.5,,,,,1,105.5,,
2,111.5,,,,,2,106.5,,
3,112.5,2.25,1.57,,,3,107.5,2.25,1.57
4,113.5,,,,,4,108.5,,
5,114.5,2.6,1.45,,,5,109.5,2.6,1.45
6,115.5,,,,,6,110.5,,
7,116.5,3.15,1.34,,,7,111.5,3.15,1.34
8,117.5,,,,,8,112.5,,
9,118.5,3.65,1.26,,,9,113.5,3.65,1.26
10,119.5,4,1.22,,,10,114.5,4,1.22
11,120.5,4.3,1.2,,,11,115.5,4.3,1.2
12,121.5,,,,,12,116.5,,
13,122.5,5,1.14,,,13,117.5,5,1.14
14,123.5,,,,,14,118.5,,
15,124.5,6.5,1.1,,,15,119.5,6.5,1.1
16,125.5,,,,,16,120.5,,
17,126.5,7.5,1.07,,,17,121.5,7.5,1.07
18,127.5,,,,,18,122.5,,
19,128.5,8.5,1.05,,,19,123.5,8.5,1.05
20,129.5,9,1.04,,,20,124.5,9,1.04
21,130.5,10,1.03,,,21,125.5,10,1.03
22,131.5,,,,,22,126.5,,
23,132.5,,,,,23,127.5,,
24,133.5,,,,,24,128.5,,
25,134.5,13,1.01,,,25,129.5,13,1.01
