,Date,MarketPredicted,Team,GameNumber,Regressor,Estimatororneigbor,BookiePrediction,TeamAvg10Games,OpponentAvg10Games,OpponentFormOver10Games,ModelScorePrediction,ModelResultPrediction,FormulaPrediction,RealScore,SystemResult,Gamenumberfor%,TotalGames,BetReturn,RunningTotalAll,BetReturn%,BetReturnWithoutNC,RunningTotalWithoutNC,TotalConclusives,TotalConclusiveGames,BetReturnWithoutNC%
0,2021-01-07,TeamScore,Brooklyn Nets,10,KNeighborsRegressor,5,109,119.53,107.78,4.0,121.76,Over,Not conclusive,122,Correct,1,1,0.83,0.83,83.0,,,0,0,
1,2021-01-08,TeamScore,Brooklyn Nets,11,KNeighborsRegressor,5,116,119.68,108.0,3.0,121.36,Over,Not conclusive,110,Incorrect,1,2,-1.0,-0.17000000000000004,-8.5,,,0,0,
2,2021-01-10,TeamScore,Brooklyn Nets,12,KNeighborsRegressor,5,115,118.09,111.3,6.0,116.78,Over,Not conclusive,116,Correct,1,3,0.83,0.6599999999999999,22.0,,,0,0,
3,2021-01-12,TeamScore,Brooklyn Nets,13,KNeighborsRegressor,5,120,117.38,110.9,4.0,116.56,Under,Prediction is UNDER 120,122,Incorrect,1,4,-1.0,-0.3400000000000001,-8.5,-1.0,-1.0,1,1,-100.0
4,2021-01-13,TeamScore,Brooklyn Nets,14,KNeighborsRegressor,5,111,119.3,104.2,4.0,118.4,Over,Not conclusive,116,Correct,1,5,0.83,0.4899999999999999,9.8,,-1.0,0,1,-100.0
5,2021-01-16,TeamScore,Brooklyn Nets,15,KNeighborsRegressor,5,117,119.91,110.3,6.0,118.02,Over,Not conclusive,122,Correct,1,6,0.83,1.3199999999999998,22.0,,-1.0,0,1,-100.0
6,2021-01-18,TeamScore,Brooklyn Nets,16,KNeighborsRegressor,5,117,117.41,109.4,5.0,121.22,Over,Not conclusive,125,Correct,1,7,0.83,2.15,30.71,,-1.0,0,1,-100.0
7,2021-01-20,TeamScore,Brooklyn Nets,17,KNeighborsRegressor,5,113,120.7,110.8,5.0,118.4,Over,Not conclusive,135,Correct,1,8,0.83,2.98,37.25,,-1.0,0,1,-100.0
8,2021-01-22,TeamScore,Brooklyn Nets,18,KNeighborsRegressor,5,113,121.91,112.0,6.0,118.22,Over,Not conclusive,113,Incorrect,1,9,-1.0,1.98,22.0,,-1.0,0,1,-100.0
9,2021-01-23,TeamScore,Brooklyn Nets,19,KNeighborsRegressor,5,118,120.19,113.6,4.0,120.58,Over,Not conclusive,128,Correct,1,10,0.83,2.81,28.1,,-1.0,0,1,-100.0
10,2021-01-25,TeamScore,Brooklyn Nets,20,KNeighborsRegressor,5,120,120.55,110.3,3.0,117.7,Under,Not conclusive,98,Correct,1,11,0.83,3.64,33.09,,-1.0,0,1,-100.0
11,2021-01-27,TeamScore,Brooklyn Nets,21,KNeighborsRegressor,5,118,119.57,110.5,4.0,121.14,Over,Not conclusive,132,Correct,1,12,0.83,4.47,37.25,,-1.0,0,1,-100.0
12,2021-01-29,TeamScore,Brooklyn Nets,22,KNeighborsRegressor,5,120,121.48,116.7,6.0,121.76,Over,Not conclusive,147,Correct,1,13,0.83,5.3,40.77,,-1.0,0,1,-100.0
13,2021-01-31,TeamScore,Brooklyn Nets,23,KNeighborsRegressor,5,125,124.22,120.4,6.0,122.84,Under,Not conclusive,146,Incorrect,1,14,-1.0,4.3,30.71,,-1.0,0,1,-100.0
14,2021-02-02,TeamScore,Brooklyn Nets,24,KNeighborsRegressor,5,115,127.3,103.9,4.0,123.0,Over,Not conclusive,124,Correct,1,15,0.83,5.13,34.2,,-1.0,0,1,-100.0
15,2021-02-05,TeamScore,Brooklyn Nets,25,KNeighborsRegressor,5,120,127.45,112.5,5.0,123.3,Over,Not conclusive,117,Incorrect,1,16,-1.0,4.13,25.81,,-1.0,0,1,-100.0
16,2021-02-06,TeamScore,Brooklyn Nets,26,KNeighborsRegressor,5,118,126.48,110.0,4.0,121.36,Over,Not conclusive,108,Incorrect,1,17,-1.0,3.13,18.41,,-1.0,0,1,-100.0
17,2021-02-09,TeamScore,Brooklyn Nets,27,KNeighborsRegressor,5,120,123.54,112.1,5.0,116.88,Under,Not conclusive,111,Correct,1,18,0.83,3.96,22.0,,-1.0,0,1,-100.0
18,2021-02-10,TeamScore,Brooklyn Nets,28,KNeighborsRegressor,5,122,123.25,110.8,4.0,119.7,Under,Not conclusive,104,Correct,1,19,0.83,4.79,25.21,,-1.0,0,1,-100.0
19,2021-02-13,TeamScore,Brooklyn Nets,29,KNeighborsRegressor,5,120,120.91,109.9,5.0,120.62,Over,Not conclusive,134,Correct,1,20,0.83,5.62,28.1,,-1.0,0,1,-100.0
20,2021-02-15,TeamScore,Brooklyn Nets,30,KNeighborsRegressor,5,125,124.89,118.6,6.0,121.78,Under,Not conclusive,136,Incorrect,1,21,-1.0,4.62,22.0,,-1.0,0,1,-100.0
21,2021-02-16,TeamScore,Brooklyn Nets,31,KNeighborsRegressor,5,115,125.25,106.0,5.0,121.7,Over,Not conclusive,128,Correct,1,22,0.83,5.45,24.77,,-1.0,0,1,-100.0
22,2021-02-18,TeamScore,Brooklyn Nets,32,KNeighborsRegressor,5,114,122.97,108.2,6.0,120.94,Over,Not conclusive,109,Incorrect,1,23,-1.0,4.45,19.35,,-1.0,0,1,-100.0
23,2021-02-21,TeamScore,Brooklyn Nets,33,KNeighborsRegressor,5,116,118.93,111.6,7.0,120.26,Over,Not conclusive,112,Incorrect,1,24,-1.0,3.45,14.38,,-1.0,0,1,-100.0
24,2021-02-23,TeamScore,Brooklyn Nets,34,KNeighborsRegressor,5,127,117.76,124.4,9.0,122.72,Under,Not conclusive,127,Incorrect,1,25,-1.0,2.45,9.8,,-1.0,0,1,-100.0
25,2021-02-25,TeamScore,Brooklyn Nets,35,KNeighborsRegressor,5,120,118.88,110.1,3.0,115.16,Under,Prediction is UNDER 120,129,Incorrect,1,26,-1.0,1.4500000000000002,5.58,-1.0,-2.0,1,2,-100.0
26,2021-02-27,TeamScore,Brooklyn Nets,36,KNeighborsRegressor,5,123,120.88,108.2,4.0,127.36,Over,Not conclusive,98,Incorrect,1,27,-1.0,0.4500000000000002,1.67,,-2.0,0,2,-100.0
27,2021-03-01,TeamScore,Brooklyn Nets,37,KNeighborsRegressor,5,118,119.71,107.5,5.0,124.42,Over,Not conclusive,124,Correct,1,28,0.83,1.2800000000000002,4.57,,-2.0,0,2,-100.0
28,2021-03-03,TeamScore,Brooklyn Nets,38,KNeighborsRegressor,5,119,121.99,121.1,8.0,122.98,Over,Prediction is OVER 119,132,Correct,1,29,0.83,2.1100000000000003,7.28,0.83,-1.17,1,3,-39.0
29,2021-03-11,TeamScore,Brooklyn Nets,39,KNeighborsRegressor,5,120,121.66,115.3,8.0,126.72,Over,Not conclusive,121,Correct,1,30,0.83,2.9400000000000004,9.8,,-1.17,0,3,-39.0
30,2021-03-13,TeamScore,Brooklyn Nets,40,KNeighborsRegressor,5,120,119.8,107.8,6.0,124.0,Over,Not conclusive,100,Incorrect,1,31,-1.0,1.9400000000000004,6.26,,-1.17,0,3,-39.0
31,2021-03-15,TeamScore,Brooklyn Nets,41,KNeighborsRegressor,5,115,116.89,110.2,7.0,120.58,Over,Not conclusive,117,Correct,1,32,0.83,2.7700000000000005,8.66,,-1.17,0,3,-39.0
32,2021-03-17,TeamScore,Brooklyn Nets,42,KNeighborsRegressor,5,120,117.84,114.1,6.0,124.48,Over,Not conclusive,124,Correct,1,33,0.83,3.6000000000000005,10.91,,-1.17,0,3,-39.0
33,2021-03-19,TeamScore,Brooklyn Nets,43,KNeighborsRegressor,5,120,119.05,113.4,6.0,123.3,Over,Not conclusive,113,Incorrect,1,34,-1.0,2.6000000000000005,7.65,,-1.17,0,3,-39.0
34,2021-03-21,TeamScore,Brooklyn Nets,44,KNeighborsRegressor,5,127,117.51,122.2,6.0,123.62,Under,Not conclusive,113,Correct,1,35,0.83,3.4300000000000006,9.8,,-1.17,0,3,-39.0
35,2021-03-23,TeamScore,Brooklyn Nets,45,KNeighborsRegressor,5,122,115.78,118.7,8.0,119.56,Under,Not conclusive,116,Correct,1,36,0.83,4.260000000000001,11.83,,-1.17,0,3,-39.0
36,2021-03-24,TeamScore,Brooklyn Nets,46,KNeighborsRegressor,5,116,117.48,112.0,7.0,119.96,Over,Not conclusive,88,Incorrect,1,37,-1.0,3.2600000000000007,8.81,,-1.17,0,3,-39.0
37,2021-03-26,TeamScore,Brooklyn Nets,47,KNeighborsRegressor,5,118,113.77,106.5,3.0,117.54,Under,Prediction is UNDER 118,113,Correct,1,38,0.83,4.090000000000001,10.76,0.83,-0.33999999999999997,1,4,-8.5
38,2021-03-29,TeamScore,Brooklyn Nets,48,KNeighborsRegressor,5,125,111.67,118.8,6.0,117.14,Under,Not conclusive,112,Correct,1,39,0.83,4.920000000000001,12.62,,-0.33999999999999997,0,4,-8.5
39,2021-03-31,TeamScore,Brooklyn Nets,49,KNeighborsRegressor,5,121,110.76,112.8,5.0,115.52,Under,Not conclusive,120,Correct,1,40,0.83,5.750000000000001,14.38,,-0.33999999999999997,0,4,-8.5
40,2021-04-01,TeamScore,Brooklyn Nets,50,KNeighborsRegressor,5,120,112.87,106.9,3.0,115.14,Under,Prediction is UNDER 120,111,Correct,1,41,0.83,6.580000000000001,16.05,0.83,0.49,1,5,9.8
41,2021-04-04,TeamScore,Brooklyn Nets,51,KNeighborsRegressor,5,120,112.17,109.6,4.0,116.34,Under,Prediction is UNDER 120,107,Correct,1,42,0.83,7.410000000000001,17.64,0.83,1.3199999999999998,1,6,22.0
42,2021-04-05,TeamScore,Brooklyn Nets,52,KNeighborsRegressor,5,111,110.37,99.9,2.0,112.74,Over,Not conclusive,114,Correct,1,43,0.83,8.24,19.16,,1.3199999999999998,0,6,22.0
43,2021-04-07,TeamScore,Brooklyn Nets,53,KNeighborsRegressor,5,122,110.73,114.8,5.0,115.26,Under,Not conclusive,139,Incorrect,1,44,-1.0,7.24,16.45,,1.3199999999999998,0,6,22.0
44,2021-04-10,TeamScore,Brooklyn Nets,54,KNeighborsRegressor,5,113,113.21,103.8,3.0,113.62,Over,Not conclusive,101,Incorrect,1,45,-1.0,6.24,13.87,,1.3199999999999998,0,6,22.0
45,2021-04-13,TeamScore,Brooklyn Nets,55,KNeighborsRegressor,5,0,111.82,119.4,6.0,105.04,Over,Prediction is OVER 0,127,Correct,1,46,0.83,7.07,15.37,0.83,2.15,1,7,30.71
46,2021-04-14,TeamScore,Brooklyn Nets,56,KNeighborsRegressor,5,114,116.01,105.1,4.0,118.02,Over,Not conclusive,117,Correct,1,47,0.83,7.9,16.81,,2.15,0,7,30.71
47,2021-04-16,TeamScore,Brooklyn Nets,57,KNeighborsRegressor,5,118,116.58,108.5,4.0,111.96,Under,Prediction is UNDER 118,130,Incorrect,1,48,-1.0,6.9,14.38,-1.0,1.15,1,8,14.37
48,2021-04-18,TeamScore,Brooklyn Nets,58,KNeighborsRegressor,5,113,118.33,107.8,6.0,111.86,Under,Not conclusive,107,Correct,1,49,0.83,7.73,15.78,,1.15,0,8,14.37
49,2021-04-20,TeamScore,Brooklyn Nets,59,KNeighborsRegressor,5,122,117.17,117.9,8.0,117.34,Under,Not conclusive,134,Incorrect,1,50,-1.0,6.73,13.46,,1.15,0,8,14.37
50,2021-04-21,TeamScore,Brooklyn Nets,60,KNeighborsRegressor,5,118,119.39,108.1,5.0,109.38,Under,Not conclusive,103,Correct,1,51,0.83,7.5600000000000005,14.82,,1.15,0,8,14.37
51,2021-04-23,TeamScore,Brooklyn Nets,61,KNeighborsRegressor,5,118,119.01,106.7,4.0,108.62,Under,Not conclusive,109,Correct,1,52,0.83,8.39,16.13,,1.15,0,8,14.37
52,2021-04-25,TeamScore,Brooklyn Nets,62,KNeighborsRegressor,5,115,118.65,111.4,7.0,107.9,Under,Not conclusive,128,Incorrect,1,53,-1.0,7.390000000000001,13.94,,1.15,0,8,14.37
53,2021-04-27,TeamScore,Brooklyn Nets,63,KNeighborsRegressor,5,118,117.32,108.0,4.0,107.44,Under,Prediction is UNDER 118,116,Correct,1,54,0.83,8.22,15.22,0.83,1.98,1,9,22.0
54,2021-04-29,TeamScore,Brooklyn Nets,64,KNeighborsRegressor,5,120,119.11,117.6,8.0,111.02,Under,Not conclusive,130,Incorrect,1,55,-1.0,7.220000000000001,13.13,,1.98,0,9,22.0
55,2021-04-30,TeamScore,Brooklyn Nets,65,KNeighborsRegressor,5,122,119.23,113.3,3.0,122.26,Over,Not conclusive,109,Incorrect,1,56,-1.0,6.220000000000001,11.11,,1.98,0,9,22.0
56,2021-05-02,TeamScore,Brooklyn Nets,66,KNeighborsRegressor,5,117,118.4,115.5,5.0,120.2,Over,Not conclusive,114,Incorrect,1,57,-1.0,5.220000000000001,9.16,,1.98,0,9,22.0
57,2021-05-04,TeamScore,Brooklyn Nets,67,KNeighborsRegressor,5,117,116.68,116.1,5.0,117.16,Over,Not conclusive,118,Correct,1,58,0.83,6.050000000000001,10.43,,1.98,0,9,22.0
58,2021-05-06,TeamScore,Brooklyn Nets,68,KNeighborsRegressor,5,115,117.8,107.1,4.0,114.8,Under,Not conclusive,109,Correct,1,59,0.83,6.880000000000001,11.66,,1.98,0,9,22.0
59,2021-05-08,TeamScore,Brooklyn Nets,69,KNeighborsRegressor,5,116,115.21,109.9,6.0,117.42,Over,Not conclusive,125,Correct,1,60,0.83,7.710000000000001,12.85,,1.98,0,9,22.0
60,2021-05-11,TeamScore,Brooklyn Nets,70,KNeighborsRegressor,5,117,117.53,105.2,1.0,113.06,Under,Not conclusive,115,Correct,1,61,0.83,8.540000000000001,14.0,,1.98,0,9,22.0
61,2021-05-12,TeamScore,Brooklyn Nets,71,KNeighborsRegressor,5,118,118.32,119.1,7.0,119.44,Over,Prediction is OVER 118,128,Correct,1,62,0.83,9.370000000000001,15.11,0.83,2.81,1,10,28.1
62,2021-05-15,TeamScore,Brooklyn Nets,72,KNeighborsRegressor,5,118,118.09,105.1,1.0,114.98,Under,Not conclusive,105,Correct,1,63,0.83,10.200000000000001,16.19,,2.81,0,10,28.1
