,Date,MarketPredicted,Team,GameNumber,Regressor,Estimatororneigbor,BookiePrediction,TeamAvg10Games,OpponentAvg10Games,OpponentFormOver10Games,ModelScorePrediction,ModelResultPrediction,FormulaPrediction,RealScore,SystemResult,Gamenumberfor%,TotalGames,BetReturn,RunningTotalAll,BetReturn%,BetReturnWithoutNC,RunningTotalWithoutNC,TotalConclusives,TotalConclusiveGames,BetReturnWithoutNC%
0,2021-01-08,TeamScore,Charlotte Hornets,10,GradientBoostingRegressor,5,106,106.77,106.56,5.0,107.89,Over,Not conclusive,118,Correct,1,1,0.83,0.83,83.0,,,0,0,
1,2021-01-09,TeamScore,Charlotte Hornets,11,GradientBoostingRegressor,5,111,107.94,109.5,4.0,108.4,Under,Prediction is UNDER 111,113,Incorrect,1,2,-1.0,-0.17000000000000004,-8.5,-1.0,-1.0,1,1,-100.0
2,2021-01-11,TeamScore,Charlotte Hornets,12,GradientBoostingRegressor,5,104,107.79,103.9,2.0,107.9,Over,Not conclusive,109,Correct,1,3,0.83,0.6599999999999999,22.0,,-1.0,0,1,-100.0
3,2021-01-13,TeamScore,Charlotte Hornets,13,GradientBoostingRegressor,5,108,107.85,102.9,4.0,106.5,Under,Prediction is UNDER 108,93,Correct,1,4,0.83,1.4899999999999998,37.25,0.83,-0.17000000000000004,1,2,-8.5
4,2021-01-14,TeamScore,Charlotte Hornets,14,GradientBoostingRegressor,5,107,106.57,110.7,6.0,106.7,Under,Not conclusive,108,Incorrect,1,5,-1.0,0.48999999999999977,9.8,,-0.17000000000000004,0,2,-8.5
5,2021-01-16,TeamScore,Charlotte Hornets,15,GradientBoostingRegressor,5,108,105.52,113.5,7.0,106.2,Under,Not conclusive,113,Incorrect,1,6,-1.0,-0.5100000000000002,-8.5,,-0.17000000000000004,0,2,-8.5
6,2021-01-22,TeamScore,Charlotte Hornets,16,GradientBoostingRegressor,5,116,107.69,117.5,6.0,107.9,Under,Not conclusive,110,Correct,1,7,0.83,0.31999999999999973,4.57,,-0.17000000000000004,0,2,-8.5
7,2021-01-24,TeamScore,Charlotte Hornets,17,GradientBoostingRegressor,5,108,107.44,109.5,6.0,107.4,Under,Not conclusive,107,Correct,1,8,0.83,1.1499999999999997,14.37,,-0.17000000000000004,0,2,-8.5
8,2021-01-25,TeamScore,Charlotte Hornets,18,GradientBoostingRegressor,5,108,108.11,111.9,6.0,108.1,Over,Prediction is OVER 108,108,Incorrect,1,9,-1.0,0.1499999999999997,1.67,-1.0,-1.17,1,3,-39.0
9,2021-01-27,TeamScore,Charlotte Hornets,19,GradientBoostingRegressor,5,109,108.75,113.2,6.0,108.5,Under,Not conclusive,106,Correct,1,10,0.83,0.9799999999999996,9.8,,-1.17,0,3,-39.0
10,2021-01-29,TeamScore,Charlotte Hornets,20,GradientBoostingRegressor,5,109,107.45,111.5,5.0,107.5,Under,Not conclusive,108,Correct,1,11,0.83,1.8099999999999996,16.45,,-1.17,0,3,-39.0
11,2021-01-30,TeamScore,Charlotte Hornets,21,GradientBoostingRegressor,5,108,107.08,113.3,5.0,108.8,Over,Not conclusive,126,Correct,1,12,0.83,2.6399999999999997,22.0,,-1.17,0,3,-39.0
12,2021-02-01,TeamScore,Charlotte Hornets,22,GradientBoostingRegressor,5,104,108.98,109.0,2.0,110.8,Over,Not conclusive,129,Correct,1,13,0.83,3.4699999999999998,26.69,,-1.17,0,3,-39.0
13,2021-02-03,TeamScore,Charlotte Hornets,23,GradientBoostingRegressor,5,108,112.76,108.3,3.0,112.6,Over,Not conclusive,111,Correct,1,14,0.83,4.3,30.71,,-1.17,0,3,-39.0
14,2021-02-05,TeamScore,Charlotte Hornets,24,GradientBoostingRegressor,5,104,113.19,107.2,5.0,113.9,Over,Not conclusive,121,Correct,1,15,0.83,5.13,34.2,,-1.17,0,3,-39.0
15,2021-02-07,TeamScore,Charlotte Hornets,25,GradientBoostingRegressor,5,0,114.05,117.3,6.0,114.5,Over,Prediction is OVER 0,119,Correct,1,16,0.83,5.96,37.25,0.83,-0.33999999999999997,1,4,-8.5
16,2021-02-08,TeamScore,Charlotte Hornets,26,GradientBoostingRegressor,5,107,115.04,107.5,4.0,115.4,Over,Not conclusive,119,Correct,1,17,0.83,6.79,39.94,,-0.33999999999999997,0,4,-8.5
17,2021-02-10,TeamScore,Charlotte Hornets,27,GradientBoostingRegressor,5,107,116.31,118.0,8.0,116.1,Over,Prediction is OVER 107,114,Correct,1,18,0.83,7.62,42.33,0.83,0.49,1,5,9.8
18,2021-02-12,TeamScore,Charlotte Hornets,28,GradientBoostingRegressor,5,114,117.03,113.4,5.0,117.3,Over,Not conclusive,120,Correct,1,19,0.83,8.45,44.47,,0.49,0,5,9.8
19,2021-02-14,TeamScore,Charlotte Hornets,29,GradientBoostingRegressor,5,112,118.47,112.5,5.0,117.7,Over,Not conclusive,110,Incorrect,1,20,-1.0,7.449999999999999,37.25,,0.49,0,5,9.8
20,2021-02-20,TeamScore,Charlotte Hornets,30,GradientBoostingRegressor,5,111,118.61,109.7,5.0,117.1,Over,Not conclusive,102,Incorrect,1,21,-1.0,6.449999999999999,30.71,,0.49,0,5,9.8
21,2021-02-22,TeamScore,Charlotte Hornets,31,GradientBoostingRegressor,5,104,116.05,106.4,6.0,115.5,Over,Prediction is OVER 104,110,Correct,1,22,0.83,7.279999999999999,33.09,0.83,1.3199999999999998,1,6,22.0
22,2021-02-24,TeamScore,Charlotte Hornets,32,GradientBoostingRegressor,5,105,114.1,109.2,6.0,115.0,Over,Prediction is OVER 105,124,Correct,1,23,0.83,8.11,35.26,0.83,2.15,1,7,30.71
23,2021-02-26,TeamScore,Charlotte Hornets,33,GradientBoostingRegressor,5,110,115.5,111.1,6.0,116.0,Over,Prediction is OVER 110,121,Correct,1,24,0.83,8.94,37.25,0.83,2.98,1,8,37.25
24,2021-02-28,TeamScore,Charlotte Hornets,34,GradientBoostingRegressor,5,118,115.56,124.4,9.0,116.6,Under,Not conclusive,127,Incorrect,1,25,-1.0,7.9399999999999995,31.76,,2.98,0,8,37.25
