,Date,MarketPredicted,Team,GameNumber,Regressor,Estimatororneigbor,BookiePrediction,TeamAvg10Games,OpponentAvg10Games,OpponentFormOver10Games,ModelScorePrediction,ModelResultPrediction,FormulaPrediction,RealScore,SystemResult,Gamenumberfor%,TotalGames,BetReturn,RunningTotalAll,BetReturn%,BetReturnWithoutNC,RunningTotalWithoutNC,TotalConclusives,TotalConclusiveGames,BetReturnWithoutNC%
0,2021-01-09,TeamScore,Denver Nuggets,10,GradientBoostingRegressor,5,111,116.98,107.78,4.0,116.78,Over,Not conclusive,115,Correct,1,1,0.83,0.83,83.0,,,0,0,
1,2021-01-10,TeamScore,Denver Nuggets,11,GradientBoostingRegressor,5,107,116.75,105.1,2.0,116.5,Over,Not conclusive,114,Correct,1,2,0.83,1.66,83.0,,,0,0,
2,2021-01-12,TeamScore,Denver Nuggets,12,GradientBoostingRegressor,5,114,115.89,114.4,6.0,115.9,Over,Prediction is OVER 114,116,Correct,1,3,0.83,2.4899999999999998,83.0,0.83,0.83,1,1,83.0
3,2021-01-14,TeamScore,Denver Nuggets,13,GradientBoostingRegressor,5,116,116.75,112.1,3.0,116.5,Over,Not conclusive,114,Incorrect,1,4,-1.0,1.4899999999999998,37.25,,0.83,0,1,83.0
4,2021-01-17,TeamScore,Denver Nuggets,14,GradientBoostingRegressor,5,110,115.56,104.5,3.0,114.6,Over,Not conclusive,105,Incorrect,1,5,-1.0,0.48999999999999977,9.8,,0.83,0,1,83.0
5,2021-01-19,TeamScore,Denver Nuggets,15,GradientBoostingRegressor,5,114,114.6,113.6,7.0,115.0,Over,Not conclusive,119,Correct,1,6,0.83,1.3199999999999998,22.0,,0.83,0,1,83.0
6,2021-01-22,TeamScore,Denver Nuggets,16,GradientBoostingRegressor,5,109,116.47,114.6,8.0,117.7,Over,Prediction is OVER 109,130,Correct,1,7,0.83,2.15,30.71,0.83,1.66,1,2,83.0
7,2021-01-23,TeamScore,Denver Nuggets,17,GradientBoostingRegressor,5,109,117.03,114.5,8.0,117.3,Over,Prediction is OVER 109,120,Correct,1,8,0.83,2.98,37.25,0.83,2.4899999999999998,1,3,83.0
8,2021-01-25,TeamScore,Denver Nuggets,18,GradientBoostingRegressor,5,115,116.67,113.2,7.0,116.7,Over,Not conclusive,117,Correct,1,9,0.83,3.81,42.33,,2.4899999999999998,0,3,83.0
9,2021-01-27,TeamScore,Denver Nuggets,19,GradientBoostingRegressor,5,115,116.59,113.6,4.0,115.9,Over,Not conclusive,109,Incorrect,1,10,-1.0,2.81,28.1,,2.4899999999999998,0,3,83.0
10,2021-01-29,TeamScore,Denver Nuggets,20,GradientBoostingRegressor,5,116,115.93,106.1,2.0,115.3,Under,Prediction is UNDER 116,109,Correct,1,11,0.83,3.64,33.09,0.83,3.32,1,4,83.0
11,2021-01-31,TeamScore,Denver Nuggets,21,GradientBoostingRegressor,5,111,115.57,103.9,3.0,116.7,Over,Not conclusive,128,Correct,1,12,0.83,4.47,37.25,,3.32,0,4,83.0
12,2021-02-04,TeamScore,Denver Nuggets,22,GradientBoostingRegressor,5,107,116.54,102.2,4.0,114.4,Over,Not conclusive,93,Incorrect,1,13,-1.0,3.4699999999999998,26.69,,3.32,0,4,83.0
13,2021-02-06,TeamScore,Denver Nuggets,23,GradientBoostingRegressor,5,121,114.44,114.5,3.0,114.4,Under,Prediction is UNDER 121,114,Correct,1,14,0.83,4.3,30.71,0.83,4.1499999999999995,1,5,83.0
14,2021-02-08,TeamScore,Denver Nuggets,24,GradientBoostingRegressor,5,116,115.41,113.8,5.0,115.1,Under,Not conclusive,112,Correct,1,15,0.83,5.13,34.2,,4.1499999999999995,0,5,83.0
15,2021-02-10,TeamScore,Denver Nuggets,25,GradientBoostingRegressor,5,114,114.85,115.3,9.0,116.5,Over,Prediction is OVER 114,133,Correct,1,16,0.83,5.96,37.25,0.83,4.9799999999999995,1,6,83.0
16,2021-02-12,TeamScore,Denver Nuggets,26,GradientBoostingRegressor,5,116,114.82,114.3,6.0,113.2,Under,Not conclusive,97,Correct,1,17,0.83,6.79,39.94,,4.9799999999999995,0,6,83.0
17,2021-02-14,TeamScore,Denver Nuggets,27,GradientBoostingRegressor,5,109,112.54,105.3,6.0,113.4,Over,Not conclusive,122,Correct,1,18,0.83,7.62,42.33,,4.9799999999999995,0,6,83.0
18,2021-02-16,TeamScore,Denver Nuggets,28,GradientBoostingRegressor,5,111,112.86,107.3,6.0,111.6,Over,Not conclusive,99,Incorrect,1,19,-1.0,6.62,34.84,,4.9799999999999995,0,6,83.0
19,2021-02-17,TeamScore,Denver Nuggets,29,GradientBoostingRegressor,5,120,112.05,116.1,7.0,113.5,Under,Not conclusive,128,Incorrect,1,20,-1.0,5.62,28.1,,4.9799999999999995,0,6,83.0
20,2021-02-19,TeamScore,Denver Nuggets,30,GradientBoostingRegressor,5,0,114.06,121.3,9.0,114.6,Over,Prediction is OVER 0,120,Correct,1,21,0.83,6.45,30.71,0.83,5.81,1,7,83.0
21,2021-02-21,TeamScore,Denver Nuggets,31,GradientBoostingRegressor,5,116,113.13,119.6,9.0,113.3,Under,Not conclusive,115,Correct,1,22,0.83,7.28,33.09,,5.81,0,7,83.0
22,2021-02-23,TeamScore,Denver Nuggets,32,GradientBoostingRegressor,5,120,115.51,113.8,6.0,115.1,Under,Not conclusive,111,Correct,1,23,0.83,8.11,35.26,,5.81,0,7,83.0
