,Date,MarketPredicted,Team,GameNumber,Regressor,Estimatororneigbor,BookiePrediction,TeamAvg10Games,OpponentAvg10Games,OpponentFormOver10Games,ModelScorePrediction,ModelResultPrediction,FormulaPrediction,RealScore,SystemResult,Gamenumberfor%,TotalGames,BetReturn,RunningTotalAll,BetReturn%,BetReturnWithoutNC,RunningTotalWithoutNC,TotalConclusives,TotalConclusiveGames,BetReturnWithoutNC%
0,2021-01-08,TeamScore,Detroit Pistons,10,KNeighborsRegressor,5,102,111.48,103.22,3.0,105.87,Over,Not conclusive,110,Correct,1,1,0.83,0.83,83.0,,,0,0,
1,2021-01-10,TeamScore,Detroit Pistons,11,KNeighborsRegressor,5,111,111.08,108.6,4.0,111.96,Over,Not conclusive,86,Incorrect,1,2,-1.0,-0.17000000000000004,-8.5,,,0,0,
2,2021-01-13,TeamScore,Detroit Pistons,12,KNeighborsRegressor,5,113,109.58,109.1,5.0,110.96,Under,Not conclusive,101,Correct,1,3,0.83,0.6599999999999999,22.0,,,0,0,
3,2021-01-16,TeamScore,Detroit Pistons,13,KNeighborsRegressor,5,108,107.79,115.5,5.0,108.18,Over,Not conclusive,120,Correct,1,4,0.83,1.4899999999999998,37.25,,,0,0,
4,2021-01-18,TeamScore,Detroit Pistons,14,KNeighborsRegressor,5,109,107.66,111.3,4.0,111.72,Over,Not conclusive,107,Incorrect,1,5,-1.0,0.48999999999999977,9.8,,,0,0,
5,2021-01-20,TeamScore,Detroit Pistons,15,KNeighborsRegressor,5,109,107.85,105.4,4.0,112.1,Over,Not conclusive,115,Correct,1,6,0.83,1.3199999999999998,22.0,,,0,0,
6,2021-01-22,TeamScore,Detroit Pistons,16,KNeighborsRegressor,5,111,109.81,109.3,4.0,112.22,Over,Not conclusive,102,Incorrect,1,7,-1.0,0.31999999999999984,4.57,,,0,0,
7,2021-01-23,TeamScore,Detroit Pistons,17,KNeighborsRegressor,5,109,107.91,115.3,5.0,112.02,Over,Not conclusive,110,Correct,1,8,0.83,1.15,14.37,,,0,0,
8,2021-01-25,TeamScore,Detroit Pistons,18,KNeighborsRegressor,5,108,107.45,116.2,6.0,111.1,Over,Not conclusive,119,Correct,1,9,0.83,1.98,22.0,,,0,0,
9,2021-01-27,TeamScore,Detroit Pistons,19,KNeighborsRegressor,5,107,107.77,112.2,7.0,110.74,Over,Prediction is OVER 107,107,Incorrect,1,10,-1.0,0.98,9.8,-1.0,-1.0,1,1,-100.0
10,2021-01-28,TeamScore,Detroit Pistons,20,KNeighborsRegressor,5,104,107.44,103.7,4.0,110.08,Over,Not conclusive,107,Correct,1,11,0.83,1.81,16.45,,-1.0,0,1,-100.0
11,2021-01-30,TeamScore,Detroit Pistons,21,KNeighborsRegressor,5,110,109.59,110.0,4.0,112.78,Over,Not conclusive,91,Incorrect,1,12,-1.0,0.81,6.75,,-1.0,0,1,-100.0
12,2021-02-02,TeamScore,Detroit Pistons,22,KNeighborsRegressor,5,104,108.63,105.7,4.0,112.86,Over,Not conclusive,105,Correct,1,13,0.83,1.6400000000000001,12.62,,-1.0,0,1,-100.0
13,2021-02-05,TeamScore,Detroit Pistons,23,KNeighborsRegressor,5,105,106.85,106.7,4.0,109.3,Over,Not conclusive,92,Incorrect,1,14,-1.0,0.6400000000000001,4.57,,-1.0,0,1,-100.0
14,2021-02-06,TeamScore,Detroit Pistons,24,KNeighborsRegressor,5,102,105.57,101.5,4.0,108.74,Over,Not conclusive,129,Correct,1,15,0.83,1.4700000000000002,9.8,,-1.0,0,1,-100.0
15,2021-02-09,TeamScore,Detroit Pistons,25,KNeighborsRegressor,5,116,107.04,124.9,9.0,109.88,Under,Not conclusive,122,Incorrect,1,16,-1.0,0.4700000000000002,2.94,,-1.0,0,1,-100.0
16,2021-02-11,TeamScore,Detroit Pistons,26,KNeighborsRegressor,5,112,108.97,112.1,5.0,106.54,Under,Not conclusive,95,Correct,1,17,0.83,1.3000000000000003,7.65,,-1.0,0,1,-100.0
17,2021-02-12,TeamScore,Detroit Pistons,27,KNeighborsRegressor,5,0,107.45,108.4,6.0,98.5,Over,Prediction is OVER 0,108,Correct,1,18,0.83,2.1300000000000003,11.83,0.83,-0.17000000000000004,1,2,-8.5
18,2021-02-14,TeamScore,Detroit Pistons,28,KNeighborsRegressor,5,0,106.39,117.6,5.0,104.38,Over,Not conclusive,123,Correct,1,19,0.83,2.9600000000000004,15.58,,-0.17000000000000004,0,2,-8.5
19,2021-02-17,TeamScore,Detroit Pistons,29,KNeighborsRegressor,5,0,107.94,109.6,5.0,103.88,Over,Not conclusive,102,Correct,1,20,0.83,3.7900000000000005,18.95,,-0.17000000000000004,0,2,-8.5
20,2021-02-19,TeamScore,Detroit Pistons,30,KNeighborsRegressor,5,109,107.32,113.4,6.0,110.84,Over,Not conclusive,95,Incorrect,1,21,-1.0,2.7900000000000005,13.29,,-0.17000000000000004,0,2,-8.5
