,Date,MarketPredicted,Team,GameNumber,Regressor,Estimatororneigbor,BookiePrediction,TeamAvg10Games,OpponentAvg10Games,OpponentFormOver10Games,ModelScorePrediction,ModelResultPrediction,FormulaPrediction,RealScore,SystemResult,Gamenumberfor%,TotalGames,BetReturn,RunningTotalAll,BetReturn%,BetReturnWithoutNC,RunningTotalWithoutNC,TotalConclusives,TotalConclusiveGames,BetReturnWithoutNC%
0,2021-01-08,TeamScore,Golden State Warriors,10,GradientBoostingRegressor,5,107,114.51,108.56,3.0,114.56,Over,Not conclusive,115,Correct,1,1,0.83,0.83,83.0,,,0,0,
1,2021-01-10,TeamScore,Golden State Warriors,11,GradientBoostingRegressor,5,113,114.47,112.5,6.0,113.7,Over,Not conclusive,106,Incorrect,1,2,-1.0,-0.17000000000000004,-8.5,,,0,0,
2,2021-01-12,TeamScore,Golden State Warriors,12,GradientBoostingRegressor,5,112,115.13,110.4,5.0,113.3,Over,Not conclusive,95,Incorrect,1,3,-1.0,-1.17,-39.0,,,0,0,
3,2021-01-14,TeamScore,Golden State Warriors,13,GradientBoostingRegressor,5,111,114.78,110.9,4.0,113.8,Over,Not conclusive,104,Incorrect,1,4,-1.0,-2.17,-54.25,,,0,0,
4,2021-01-18,TeamScore,Golden State Warriors,14,GradientBoostingRegressor,5,104,112.14,104.5,3.0,112.4,Over,Not conclusive,115,Correct,1,5,0.83,-1.3399999999999999,-26.8,,,0,0,
5,2021-01-20,TeamScore,Golden State Warriors,15,GradientBoostingRegressor,5,108,112.09,108.5,2.0,112.9,Over,Not conclusive,121,Correct,1,6,0.83,-0.5099999999999999,-8.5,,,0,0,
6,2021-01-21,TeamScore,Golden State Warriors,16,GradientBoostingRegressor,5,107,114.45,101.5,4.0,113.5,Over,Not conclusive,104,Incorrect,1,7,-1.0,-1.5099999999999998,-21.57,,,0,0,
7,2021-01-23,TeamScore,Golden State Warriors,17,GradientBoostingRegressor,5,105,110.86,105.8,5.0,110.6,Over,Not conclusive,108,Correct,1,8,0.83,-0.6799999999999998,-8.5,,,0,0,
8,2021-01-25,TeamScore,Golden State Warriors,18,GradientBoostingRegressor,5,116,107.89,115.0,5.0,109.9,Under,Not conclusive,130,Incorrect,1,9,-1.0,-1.6799999999999997,-18.67,,,0,0,
9,2021-01-27,TeamScore,Golden State Warriors,19,GradientBoostingRegressor,5,116,111.01,113.3,5.0,112.1,Under,Not conclusive,123,Incorrect,1,10,-1.0,-2.6799999999999997,-26.8,,,0,0,
10,2021-01-28,TeamScore,Golden State Warriors,20,GradientBoostingRegressor,5,107,111.59,111.4,6.0,109.9,Over,Prediction is OVER 107,93,Incorrect,1,11,-1.0,-3.6799999999999997,-33.45,-1.0,-1.0,1,1,-100.0
11,2021-01-30,TeamScore,Golden State Warriors,21,GradientBoostingRegressor,5,113,110.41,109.9,5.0,111.1,Under,Not conclusive,118,Incorrect,1,12,-1.0,-4.68,-39.0,,-1.0,0,1,-100.0
12,2021-02-02,TeamScore,Golden State Warriors,22,GradientBoostingRegressor,5,109,112.83,109.4,6.0,112.3,Over,Prediction is OVER 109,107,Incorrect,1,13,-1.0,-5.68,-43.69,-1.0,-2.0,1,2,-100.0
13,2021-02-04,TeamScore,Golden State Warriors,23,GradientBoostingRegressor,5,111,113.56,116.7,9.0,116.6,Over,Prediction is OVER 111,147,Correct,1,14,0.83,-4.85,-34.64,0.83,-1.17,1,3,-39.0
14,2021-02-06,TeamScore,Golden State Warriors,24,GradientBoostingRegressor,5,111,116.93,119.8,9.0,118.3,Over,Prediction is OVER 111,132,Correct,1,15,0.83,-4.02,-26.8,0.83,-0.33999999999999997,1,4,-8.5
15,2021-02-08,TeamScore,Golden State Warriors,25,GradientBoostingRegressor,5,112,117.82,113.5,5.0,116.2,Over,Not conclusive,100,Incorrect,1,16,-1.0,-5.02,-31.37,,-0.33999999999999997,0,4,-8.5
16,2021-02-09,TeamScore,Golden State Warriors,26,GradientBoostingRegressor,5,112,117.52,112.8,5.0,117.2,Over,Not conclusive,114,Correct,1,17,0.83,-4.1899999999999995,-24.65,,-0.33999999999999997,0,4,-8.5
17,2021-02-11,TeamScore,Golden State Warriors,27,GradientBoostingRegressor,5,114,118.15,114.4,7.0,117.5,Over,Prediction is OVER 114,111,Incorrect,1,18,-1.0,-5.1899999999999995,-28.83,-1.0,-1.3399999999999999,1,5,-26.8
18,2021-02-13,TeamScore,Golden State Warriors,28,GradientBoostingRegressor,5,121,116.12,119.4,8.0,116.2,Under,Not conclusive,117,Correct,1,19,0.83,-4.359999999999999,-22.95,,-1.3399999999999999,0,5,-26.8
19,2021-02-15,TeamScore,Golden State Warriors,29,GradientBoostingRegressor,5,113,115.58,118.6,9.0,116.8,Over,Prediction is OVER 113,129,Correct,1,20,0.83,-3.5299999999999994,-17.65,0.83,-0.5099999999999999,1,6,-8.5
20,2021-02-17,TeamScore,Golden State Warriors,30,GradientBoostingRegressor,5,111,119.45,108.7,5.0,119.5,Over,Not conclusive,120,Correct,1,21,0.83,-2.6999999999999993,-12.86,,-0.5099999999999999,0,6,-8.5
21,2021-02-19,TeamScore,Golden State Warriors,31,GradientBoostingRegressor,5,113,119.67,112.2,5.0,119.7,Over,Not conclusive,120,Correct,1,22,0.83,-1.8699999999999992,-8.5,,-0.5099999999999999,0,6,-8.5
22,2021-02-20,TeamScore,Golden State Warriors,32,GradientBoostingRegressor,5,113,120.9,116.6,8.0,119.0,Over,Prediction is OVER 113,100,Incorrect,1,23,-1.0,-2.869999999999999,-12.48,-1.0,-1.5099999999999998,1,7,-21.57
23,2021-02-23,TeamScore,Golden State Warriors,33,GradientBoostingRegressor,5,106,115.87,103.1,4.0,115.7,Over,Not conclusive,114,Correct,1,24,0.83,-2.039999999999999,-8.5,,-1.5099999999999998,0,7,-21.57
24,2021-02-24,TeamScore,Golden State Warriors,34,GradientBoostingRegressor,5,112,113.86,113.2,5.0,113.6,Over,Not conclusive,111,Incorrect,1,25,-1.0,-3.039999999999999,-12.16,,-1.5099999999999998,0,7,-21.57
25,2021-02-26,TeamScore,Golden State Warriors,35,GradientBoostingRegressor,5,114,115.26,119.2,8.0,116.6,Over,Prediction is OVER 114,130,Correct,1,26,0.83,-2.209999999999999,-8.5,0.83,-0.6799999999999998,1,8,-8.5
26,2021-02-28,TeamScore,Golden State Warriors,36,GradientBoostingRegressor,5,107,116.63,107.4,6.0,114.3,Over,Prediction is OVER 107,91,Incorrect,1,27,-1.0,-3.209999999999999,-11.89,-1.0,-1.6799999999999997,1,9,-18.67
27,2021-03-03,TeamScore,Golden State Warriors,37,GradientBoostingRegressor,5,118,114.58,115.4,5.0,113.8,Under,Not conclusive,106,Correct,1,28,0.83,-2.379999999999999,-8.5,,-1.6799999999999997,0,9,-18.67
28,2021-03-04,TeamScore,Golden State Warriors,38,GradientBoostingRegressor,5,0,113.29,107.6,5.0,111.9,Over,Not conclusive,98,Correct,1,29,0.83,-1.549999999999999,-5.34,,-1.6799999999999997,0,9,-18.67
29,2021-03-11,TeamScore,Golden State Warriors,39,GradientBoostingRegressor,5,109,109.94,113.4,7.0,109.4,Over,Prediction is OVER 109,104,Incorrect,1,30,-1.0,-2.549999999999999,-8.5,-1.0,-2.6799999999999997,1,10,-26.8
30,2021-03-14,TeamScore,Golden State Warriors,40,GradientBoostingRegressor,5,110,108.45,114.7,8.0,110.5,Over,Not conclusive,131,Correct,1,31,0.83,-1.7199999999999989,-5.55,,-2.6799999999999997,0,10,-26.8
31,2021-03-15,TeamScore,Golden State Warriors,41,GradientBoostingRegressor,5,108,109.32,107.6,5.0,108.2,Over,Not conclusive,97,Incorrect,1,32,-1.0,-2.719999999999999,-8.5,,-2.6799999999999997,0,10,-26.8
32,2021-03-17,TeamScore,Golden State Warriors,42,GradientBoostingRegressor,5,113,109.1,119.3,7.0,109.0,Under,Not conclusive,108,Correct,1,33,0.83,-1.8899999999999988,-5.73,,-2.6799999999999997,0,10,-26.8
33,2021-03-19,TeamScore,Golden State Warriors,43,GradientBoostingRegressor,5,110,108.52,111.9,7.0,109.2,Under,Not conclusive,116,Incorrect,1,34,-1.0,-2.889999999999999,-8.5,,-2.6799999999999997,0,10,-26.8
34,2021-03-20,TeamScore,Golden State Warriors,44,GradientBoostingRegressor,5,110,108.94,113.3,7.0,108.4,Under,Not conclusive,103,Correct,1,35,0.83,-2.0599999999999987,-5.89,,-2.6799999999999997,0,10,-26.8
35,2021-03-23,TeamScore,Golden State Warriors,45,GradientBoostingRegressor,5,111,105.92,105.0,2.0,105.2,Under,Prediction is UNDER 111,98,Correct,1,36,0.83,-1.2299999999999986,-3.42,0.83,-1.8499999999999996,1,11,-16.82
36,2021-03-25,TeamScore,Golden State Warriors,46,GradientBoostingRegressor,5,119,106.9,114.7,5.0,108.0,Under,Not conclusive,119,Incorrect,1,37,-1.0,-2.2299999999999986,-6.03,,-1.8499999999999996,0,11,-16.82
37,2021-03-26,TeamScore,Golden State Warriors,47,GradientBoostingRegressor,5,114,108.22,106.5,3.0,108.2,Under,Prediction is UNDER 114,108,Correct,1,38,0.83,-1.3999999999999986,-3.68,0.83,-1.0199999999999996,1,12,-8.5
38,2021-03-29,TeamScore,Golden State Warriors,48,GradientBoostingRegressor,5,116,109.4,111.8,5.0,110.0,Under,Not conclusive,116,Incorrect,1,39,-1.0,-2.3999999999999986,-6.15,,-1.0199999999999996,0,12,-8.5
39,2021-04-01,TeamScore,Golden State Warriors,49,GradientBoostingRegressor,5,107,110.65,105.0,5.0,110.5,Over,Not conclusive,109,Correct,1,40,0.83,-1.5699999999999985,-3.92,,-1.0199999999999996,0,12,-8.5
40,2021-04-02,TeamScore,Golden State Warriors,50,GradientBoostingRegressor,5,112,107.91,110.9,6.0,105.1,Under,Not conclusive,77,Correct,1,41,0.83,-0.7399999999999985,-1.8,,-1.0199999999999996,0,12,-8.5
41,2021-04-04,TeamScore,Golden State Warriors,51,GradientBoostingRegressor,5,112,106.05,111.0,4.0,106.5,Under,Prediction is UNDER 112,111,Correct,1,42,0.83,0.09000000000000141,0.21,0.83,-0.1899999999999996,1,13,-1.46
42,2021-04-06,TeamScore,Golden State Warriors,52,GradientBoostingRegressor,5,114,106.49,115.7,7.0,107.9,Under,Not conclusive,122,Incorrect,1,43,-1.0,-0.9099999999999986,-2.12,,-0.1899999999999996,0,13,-1.46
43,2021-04-09,TeamScore,Golden State Warriors,53,GradientBoostingRegressor,5,120,107.0,112.5,4.0,107.0,Under,Prediction is UNDER 120,107,Correct,1,44,0.83,-0.07999999999999863,-0.18,0.83,0.6400000000000003,1,14,4.57
44,2021-04-10,TeamScore,Golden State Warriors,54,GradientBoostingRegressor,5,115,107.62,117.1,6.0,109.2,Under,Not conclusive,125,Incorrect,1,45,-1.0,-1.0799999999999987,-2.4,,0.6400000000000003,0,14,4.57
45,2021-04-12,TeamScore,Golden State Warriors,55,GradientBoostingRegressor,5,111,110.5,106.3,4.0,111.0,Over,Not conclusive,116,Correct,1,46,0.83,-0.24999999999999878,-0.54,,0.6400000000000003,0,14,4.57
46,2021-04-14,TeamScore,Golden State Warriors,56,GradientBoostingRegressor,5,113,110.48,124.7,8.0,113.8,Over,Not conclusive,147,Correct,1,47,0.83,0.5800000000000012,1.23,,0.6400000000000003,0,14,4.57
47,2021-04-15,TeamScore,Golden State Warriors,57,GradientBoostingRegressor,5,112,114.49,111.2,5.0,114.9,Over,Not conclusive,119,Correct,1,48,0.83,1.410000000000001,2.94,,0.6400000000000003,0,14,4.57
48,2021-04-17,TeamScore,Golden State Warriors,58,GradientBoostingRegressor,5,109,114.77,107.1,5.0,114.7,Over,Not conclusive,114,Correct,1,49,0.83,2.240000000000001,4.57,,0.6400000000000003,0,14,4.57
49,2021-04-19,TeamScore,Golden State Warriors,59,GradientBoostingRegressor,5,109,115.25,105.7,4.0,114.5,Over,Not conclusive,107,Incorrect,1,50,-1.0,1.240000000000001,2.48,,0.6400000000000003,0,14,4.57
50,2021-04-21,TeamScore,Golden State Warriors,60,GradientBoostingRegressor,5,119,118.62,113.4,2.0,118.2,Under,Prediction is UNDER 119,114,Correct,1,51,0.83,2.070000000000001,4.06,0.83,1.4700000000000002,1,15,9.8
51,2021-04-23,TeamScore,Golden State Warriors,61,GradientBoostingRegressor,5,112,118.99,111.7,6.0,118.9,Over,Not conclusive,118,Correct,1,52,0.83,2.9000000000000012,5.58,,1.4700000000000002,0,15,9.8
52,2021-04-25,TeamScore,Golden State Warriors,62,GradientBoostingRegressor,5,120,118.54,119.2,6.0,118.4,Under,Not conclusive,117,Correct,1,53,0.83,3.7300000000000013,7.04,,1.4700000000000002,0,15,9.8
53,2021-04-27,TeamScore,Golden State Warriors,63,GradientBoostingRegressor,5,111,119.5,110.5,7.0,118.0,Over,Not conclusive,103,Incorrect,1,54,-1.0,2.7300000000000013,5.06,,1.4700000000000002,0,15,9.8
54,2021-04-29,TeamScore,Golden State Warriors,64,GradientBoostingRegressor,5,118,117.19,116.4,5.0,116.9,Under,Not conclusive,114,Correct,1,55,0.83,3.5600000000000014,6.47,,1.4700000000000002,0,15,9.8
55,2021-05-01,TeamScore,Golden State Warriors,65,GradientBoostingRegressor,5,116,116.96,119.6,7.0,116.6,Over,Prediction is OVER 116,113,Incorrect,1,56,-1.0,2.5600000000000014,4.57,-1.0,0.4700000000000002,1,16,2.94
56,2021-05-03,TeamScore,Golden State Warriors,66,GradientBoostingRegressor,5,113,113.32,115.4,5.0,114.2,Over,Not conclusive,123,Correct,1,57,0.83,3.3900000000000015,5.95,,0.4700000000000002,0,16,2.94
