,Date,MarketPredicted,Team,GameNumber,Regressor,Estimatororneigbor,BookiePrediction,TeamAvg10Games,OpponentAvg10Games,OpponentFormOver10Games,ModelScorePrediction,ModelResultPrediction,FormulaPrediction,RealScore,SystemResult,BetReturn,RunningTotalAll,BetReturn%,BetReturnWithoutNC,RunningTotalWithoutNC,TotalConclusives,TotalConclusiveGames,BetReturnWithoutNC%
0,2021-01-12,TeamScore,Houston Rockets,10,KNeighborsRegressor,4,107,112.59,105.67,4.0,107.83,Over,Not conclusive,100,Incorrect,-1.0,-1.0,-100.0,,,0,0,
1,2021-01-14,TeamScore,Houston Rockets,11,KNeighborsRegressor,4,111,111.31,113.1,5.0,107.78,Under,Not conclusive,109,Correct,0.83,-0.17000000000000004,-8.5,,,0,0,
2,2021-01-16,TeamScore,Houston Rockets,12,KNeighborsRegressor,4,109,109.26,111.4,4.0,106.4,Under,Not conclusive,91,Correct,0.83,0.6599999999999999,22.0,,,0,0,
3,2021-01-18,TeamScore,Houston Rockets,13,KNeighborsRegressor,4,116,107.35,121.0,7.0,111.62,Under,Not conclusive,120,Incorrect,-1.0,-0.3400000000000001,-8.5,,,0,0,
4,2021-01-20,TeamScore,Houston Rockets,14,KNeighborsRegressor,4,105,106.96,107.7,6.0,103.4,Under,Not conclusive,103,Correct,0.83,0.4899999999999999,9.8,,,0,0,
5,2021-01-22,TeamScore,Houston Rockets,15,KNeighborsRegressor,4,110,107.07,111.7,5.0,103.92,Under,Not conclusive,103,Correct,0.83,1.3199999999999998,22.0,,,0,0,
6,2021-01-23,TeamScore,Houston Rockets,16,KNeighborsRegressor,4,105,107.7,110.0,6.0,104.75,Under,Not conclusive,133,Incorrect,-1.0,0.31999999999999984,4.57,,,0,0,
7,2021-01-26,TeamScore,Houston Rockets,17,KNeighborsRegressor,4,118,110.3,122.8,6.0,116.0,Under,Not conclusive,107,Correct,0.83,1.15,14.37,,,0,0,
8,2021-01-28,TeamScore,Houston Rockets,18,KNeighborsRegressor,4,114,107.52,113.7,5.0,104.55,Under,Not conclusive,104,Correct,0.83,1.98,22.0,,,0,0,
9,2021-01-30,TeamScore,Houston Rockets,19,KNeighborsRegressor,4,111,107.96,118.9,7.0,105.4,Under,Not conclusive,126,Incorrect,-1.0,0.98,9.8,,,0,0,
10,2021-02-01,TeamScore,Houston Rockets,20,KNeighborsRegressor,4,111,110.92,121.4,7.0,107.3,Under,Not conclusive,136,Incorrect,-1.0,-0.020000000000000018,-0.18,,,0,0,
11,2021-02-03,TeamScore,Houston Rockets,21,KNeighborsRegressor,4,111,113.4,118.9,7.0,110.75,Under,Not conclusive,87,Correct,0.83,0.8099999999999999,6.75,,,0,0,
12,2021-02-04,TeamScore,Houston Rockets,22,KNeighborsRegressor,4,104,113.24,114.6,7.0,105.85,Over,Prediction is OVER 104,115,Correct,0.83,1.64,12.62,0.83,0.83,1,1,83.0
13,2021-02-06,TeamScore,Houston Rockets,23,KNeighborsRegressor,4,110,112.6,112.4,5.0,114.0,Over,Not conclusive,106,Incorrect,-1.0,0.6399999999999999,4.57,,0.83,0,1,83.0
14,2021-02-08,TeamScore,Houston Rockets,24,KNeighborsRegressor,4,109,112.81,117.2,8.0,108.78,Under,Not conclusive,94,Correct,0.83,1.4699999999999998,9.8,,0.83,0,1,83.0
15,2021-02-09,TeamScore,Houston Rockets,25,KNeighborsRegressor,4,112,111.89,114.9,5.0,114.47,Over,Not conclusive,101,Incorrect,-1.0,0.46999999999999975,2.94,,0.83,0,1,83.0
16,2021-02-11,TeamScore,Houston Rockets,26,KNeighborsRegressor,4,108,108.3,104.0,2.0,102.0,Under,Not conclusive,94,Correct,0.83,1.2999999999999998,7.65,,0.83,0,1,83.0
17,2021-02-13,TeamScore,Houston Rockets,27,KNeighborsRegressor,4,103,106.92,105.6,5.0,100.05,Under,Not conclusive,99,Correct,0.83,2.13,11.83,,0.83,0,1,83.0
18,2021-02-15,TeamScore,Houston Rockets,28,KNeighborsRegressor,4,116,106.57,113.7,6.0,112.42,Under,Not conclusive,119,Incorrect,-1.0,1.13,5.95,,0.83,0,1,83.0
19,2021-02-17,TeamScore,Houston Rockets,29,KNeighborsRegressor,4,107,105.74,113.3,5.0,101.85,Under,Not conclusive,113,Incorrect,-1.0,0.1299999999999999,0.65,,0.83,0,1,83.0
20,2021-02-22,TeamScore,Houston Rockets,30,KNeighborsRegressor,4,112,103.08,110.8,5.0,105.7,Under,Not conclusive,100,Correct,0.83,0.9599999999999999,4.57,,0.83,0,1,83.0
21,2021-02-24,TeamScore,Houston Rockets,31,KNeighborsRegressor,4,110,104.47,122.4,9.0,99.67,Under,Not conclusive,96,Correct,0.83,1.7899999999999998,8.14,,0.83,0,1,83.0
22,2021-02-26,TeamScore,Houston Rockets,32,KNeighborsRegressor,4,107,102.53,110.6,5.0,105.58,Under,Not conclusive,111,Incorrect,-1.0,0.7899999999999998,3.43,,0.83,0,1,83.0
23,2021-02-28,TeamScore,Houston Rockets,33,KNeighborsRegressor,4,108,102.81,110.2,4.0,101.53,Under,Not conclusive,84,Correct,0.83,1.6199999999999997,6.75,,0.83,0,1,83.0
24,2021-03-01,TeamScore,Houston Rockets,34,KNeighborsRegressor,4,110,101.77,120.6,8.0,99.42,Under,Not conclusive,90,Correct,0.83,2.4499999999999997,9.8,,0.83,0,1,83.0
25,2021-03-03,TeamScore,Houston Rockets,35,KNeighborsRegressor,4,113,100.8,112.2,4.0,111.25,Under,Prediction is UNDER 113,114,Incorrect,-1.0,1.4499999999999997,5.58,-1.0,-0.17000000000000004,1,2,-8.5
26,2021-03-11,TeamScore,Houston Rockets,36,KNeighborsRegressor,4,113,102.91,124.9,9.0,103.03,Under,Not conclusive,105,Correct,0.83,2.28,8.44,,-0.17000000000000004,0,2,-8.5
27,2021-03-12,TeamScore,Houston Rockets,37,KNeighborsRegressor,4,104,103.51,112.1,7.0,105.28,Over,Not conclusive,99,Incorrect,-1.0,1.2799999999999998,4.57,,-0.17000000000000004,0,2,-8.5
28,2021-03-14,TeamScore,Houston Rockets,38,KNeighborsRegressor,4,105,101.39,116.8,8.0,101.47,Under,Not conclusive,107,Incorrect,-1.0,0.2799999999999998,0.97,,-0.17000000000000004,0,2,-8.5
29,2021-03-16,TeamScore,Houston Rockets,39,KNeighborsRegressor,4,108,100.73,110.5,6.0,101.33,Under,Not conclusive,107,Correct,0.83,1.1099999999999999,3.7,,-0.17000000000000004,0,2,-8.5
30,2021-03-17,TeamScore,Houston Rockets,40,KNeighborsRegressor,4,108,101.37,115.4,7.0,104.42,Under,Not conclusive,94,Correct,0.83,1.94,6.26,,-0.17000000000000004,0,2,-8.5
31,2021-03-19,TeamScore,Houston Rockets,41,KNeighborsRegressor,4,106,101.21,108.5,6.0,101.28,Under,Not conclusive,100,Correct,0.83,2.77,8.66,,-0.17000000000000004,0,2,-8.5
32,2021-03-21,TeamScore,Houston Rockets,42,KNeighborsRegressor,4,107,100.12,111.1,5.0,103.05,Under,Not conclusive,112,Incorrect,-1.0,1.77,5.36,,-0.17000000000000004,0,2,-8.5
33,2021-03-22,TeamScore,Houston Rockets,43,KNeighborsRegressor,4,107,103.25,118.8,9.0,103.88,Under,Not conclusive,117,Incorrect,-1.0,0.77,2.26,,-0.17000000000000004,0,2,-8.5
34,2021-03-24,TeamScore,Houston Rockets,44,KNeighborsRegressor,4,107,106.02,111.1,5.0,107.3,Over,Not conclusive,97,Incorrect,-1.0,-0.22999999999999998,-0.66,,-0.17000000000000004,0,2,-8.5
35,2021-03-26,TeamScore,Houston Rockets,45,KNeighborsRegressor,4,109,104.19,120.4,7.0,104.47,Under,Not conclusive,101,Correct,0.83,0.6,1.67,,-0.17000000000000004,0,2,-8.5
36,2021-03-27,TeamScore,Houston Rockets,46,KNeighborsRegressor,4,109,104.03,118.7,6.0,108.08,Under,Not conclusive,129,Incorrect,-1.0,-0.4,-1.08,,-0.17000000000000004,0,2,-8.5
37,2021-03-29,TeamScore,Houston Rockets,47,KNeighborsRegressor,4,107,107.14,110.9,7.0,107.1,Over,Prediction is OVER 107,110,Correct,0.83,0.42999999999999994,1.13,0.83,0.6599999999999999,1,3,22.0
38,2021-03-31,TeamScore,Houston Rockets,48,KNeighborsRegressor,4,110,107.45,110.6,2.0,109.12,Under,Not conclusive,108,Correct,0.83,1.2599999999999998,3.23,,0.6599999999999999,0,3,22.0
39,2021-04-02,TeamScore,Houston Rockets,49,KNeighborsRegressor,4,105,107.5,112.6,6.0,101.25,Under,Not conclusive,102,Correct,0.83,2.09,5.22,,0.6599999999999999,0,3,22.0
40,2021-04-04,TeamScore,Houston Rockets,50,KNeighborsRegressor,4,110,108.51,112.6,4.0,107.28,Under,Not conclusive,115,Incorrect,-1.0,1.0899999999999999,2.66,,0.6599999999999999,0,3,22.0
41,2021-04-05,TeamScore,Houston Rockets,51,KNeighborsRegressor,4,104,110.31,107.5,6.0,109.78,Over,Prediction is OVER 104,130,Correct,0.83,1.92,4.57,0.83,1.4899999999999998,1,4,37.25
42,2021-04-07,TeamScore,Houston Rockets,52,KNeighborsRegressor,4,105,112.01,102.2,0.0,106.78,Over,Not conclusive,102,Incorrect,-1.0,0.9199999999999999,2.14,,1.4899999999999998,0,4,37.25
43,2021-04-09,TeamScore,Houston Rockets,53,KNeighborsRegressor,4,102,110.43,101.7,4.0,104.33,Over,Not conclusive,109,Correct,0.83,1.75,3.98,,1.4899999999999998,0,4,37.25
44,2021-04-10,TeamScore,Houston Rockets,54,KNeighborsRegressor,4,108,111.75,117.8,7.0,109.62,Over,Prediction is OVER 108,109,Correct,0.83,2.58,5.73,0.83,2.32,1,5,46.4
