,Date,MarketPredicted,Team,GameNumber,Regressor,Estimatororneigbor,BookiePrediction,TeamAvg10Games,OpponentAvg10Games,OpponentFormOver10Games,ModelScorePrediction,ModelResultPrediction,FormulaPrediction,RealScore,SystemResult,Gamenumberfor%,TotalGames,BetReturn,RunningTotalAll,BetReturn%,BetReturnWithoutNC,RunningTotalWithoutNC,TotalConclusives,TotalConclusiveGames,BetReturnWithoutNC%
0,2021-01-09,TeamScore,Indiana Pacers,10,GradientBoostingRegressor,5,110,114.78,103.22,3.0,115.0,Over,Not conclusive,117,Correct,1,1,0.83,0.83,83.0,,,0,0,
1,2021-01-11,TeamScore,Indiana Pacers,11,GradientBoostingRegressor,5,120,115.07,121.0,8.0,115.7,Under,Not conclusive,122,Incorrect,1,2,-1.0,-0.17000000000000004,-8.5,,,0,0,
2,2021-01-12,TeamScore,Indiana Pacers,12,GradientBoostingRegressor,5,118,115.0,114.5,4.0,114.0,Under,Prediction is UNDER 118,104,Correct,1,3,0.83,0.6599999999999999,22.0,0.83,0.83,1,1,83.0
3,2021-01-14,TeamScore,Indiana Pacers,13,GradientBoostingRegressor,5,117,112.76,114.5,4.0,112.6,Under,Prediction is UNDER 117,111,Correct,1,4,0.83,1.4899999999999998,37.25,0.83,1.66,1,2,83.0
4,2021-01-17,TeamScore,Indiana Pacers,14,GradientBoostingRegressor,5,109,112.94,108.4,4.0,111.4,Over,Not conclusive,96,Incorrect,1,5,-1.0,0.48999999999999977,9.8,,1.66,0,2,83.0
5,2021-01-20,TeamScore,Indiana Pacers,15,GradientBoostingRegressor,5,111,111.45,106.6,5.0,111.5,Over,Not conclusive,112,Correct,1,6,0.83,1.3199999999999998,22.0,,1.66,0,2,83.0
6,2021-01-22,TeamScore,Indiana Pacers,16,GradientBoostingRegressor,5,114,110.76,108.3,5.0,111.6,Under,Not conclusive,120,Incorrect,1,7,-1.0,0.31999999999999984,4.57,,1.66,0,2,83.0
7,2021-01-24,TeamScore,Indiana Pacers,17,GradientBoostingRegressor,5,112,112.56,107.2,5.0,111.6,Under,Not conclusive,102,Correct,1,8,0.83,1.15,14.37,,1.66,0,2,83.0
8,2021-01-25,TeamScore,Indiana Pacers,18,GradientBoostingRegressor,5,112,111.07,107.8,5.0,112.7,Over,Not conclusive,129,Correct,1,9,0.83,1.98,22.0,,1.66,0,2,83.0
9,2021-01-27,TeamScore,Indiana Pacers,19,GradientBoostingRegressor,5,111,112.59,109.4,6.0,112.9,Over,Not conclusive,116,Correct,1,10,0.83,2.81,28.1,,1.66,0,2,83.0
10,2021-01-29,TeamScore,Indiana Pacers,20,GradientBoostingRegressor,5,111,112.37,108.9,6.0,111.7,Over,Not conclusive,105,Incorrect,1,11,-1.0,1.81,16.45,,1.66,0,2,83.0
11,2021-01-31,TeamScore,Indiana Pacers,21,GradientBoostingRegressor,5,112,110.55,110.8,4.0,110.5,Under,Prediction is UNDER 112,110,Correct,1,12,0.83,2.64,22.0,0.83,2.4899999999999998,1,3,83.0
12,2021-02-02,TeamScore,Indiana Pacers,22,GradientBoostingRegressor,5,111,111.45,114.6,7.0,113.5,Over,Prediction is OVER 111,134,Correct,1,13,0.83,3.47,26.69,0.83,3.32,1,4,83.0
13,2021-02-03,TeamScore,Indiana Pacers,23,GradientBoostingRegressor,5,114,113.74,114.8,5.0,113.4,Under,Not conclusive,110,Correct,1,14,0.83,4.3,30.71,,3.32,0,4,83.0
14,2021-02-05,TeamScore,Indiana Pacers,24,GradientBoostingRegressor,5,116,115.31,114.9,5.0,115.1,Under,Not conclusive,113,Correct,1,15,0.83,5.13,34.2,,3.32,0,4,83.0
15,2021-02-07,TeamScore,Indiana Pacers,25,GradientBoostingRegressor,5,109,115.24,106.5,5.0,113.4,Over,Not conclusive,95,Incorrect,1,16,-1.0,4.13,25.81,,3.32,0,4,83.0
16,2021-02-10,TeamScore,Indiana Pacers,26,GradientBoostingRegressor,5,118,112.48,125.0,9.0,110.8,Under,Not conclusive,94,Correct,1,17,0.83,4.96,29.18,,3.32,0,4,83.0
17,2021-02-11,TeamScore,Indiana Pacers,27,GradientBoostingRegressor,5,114,111.77,112.1,5.0,111.7,Under,Not conclusive,111,Correct,1,18,0.83,5.79,32.17,,3.32,0,4,83.0
18,2021-02-13,TeamScore,Indiana Pacers,28,GradientBoostingRegressor,5,112,109.93,118.5,8.0,111.3,Under,Not conclusive,125,Incorrect,1,19,-1.0,4.79,25.21,,3.32,0,4,83.0
19,2021-02-15,TeamScore,Indiana Pacers,29,GradientBoostingRegressor,5,116,110.79,109.6,5.0,110.9,Under,Not conclusive,112,Correct,1,20,0.83,5.62,28.1,,3.32,0,4,83.0
20,2021-02-17,TeamScore,Indiana Pacers,30,GradientBoostingRegressor,5,115,111.78,115.8,5.0,113.8,Under,Not conclusive,134,Incorrect,1,21,-1.0,4.62,22.0,,3.32,0,4,83.0
21,2021-02-24,TeamScore,Indiana Pacers,31,GradientBoostingRegressor,5,113,114.15,113.0,6.0,113.5,Over,Not conclusive,107,Incorrect,1,22,-1.0,3.62,16.45,,3.32,0,4,83.0
22,2021-02-26,TeamScore,Indiana Pacers,32,GradientBoostingRegressor,5,108,111.23,110.0,7.0,111.3,Over,Prediction is OVER 108,112,Correct,1,23,0.83,4.45,19.35,0.83,4.1499999999999995,1,5,83.0
23,2021-02-27,TeamScore,Indiana Pacers,33,GradientBoostingRegressor,5,105,111.4,103.1,4.0,111.0,Over,Not conclusive,107,Correct,1,24,0.83,5.28,22.0,,4.1499999999999995,0,5,83.0
24,2021-03-01,TeamScore,Indiana Pacers,34,GradientBoostingRegressor,5,110,110.81,111.8,4.0,111.1,Over,Not conclusive,114,Correct,1,25,0.83,6.11,24.44,,4.1499999999999995,0,5,83.0
25,2021-03-03,TeamScore,Indiana Pacers,35,GradientBoostingRegressor,5,112,112.9,119.1,7.0,113.0,Over,Prediction is OVER 112,114,Correct,1,26,0.83,6.94,26.69,0.83,4.9799999999999995,1,6,83.0
26,2021-03-04,TeamScore,Indiana Pacers,36,GradientBoostingRegressor,5,112,114.99,109.6,4.0,113.9,Over,Not conclusive,103,Incorrect,1,27,-1.0,5.94,22.0,,4.9799999999999995,0,6,83.0
27,2021-03-12,TeamScore,Indiana Pacers,37,GradientBoostingRegressor,5,106,114.08,107.5,6.0,112.8,Over,Prediction is OVER 106,100,Incorrect,1,28,-1.0,4.94,17.64,-1.0,3.9799999999999995,1,7,56.86
28,2021-03-13,TeamScore,Indiana Pacers,38,GradientBoostingRegressor,5,107,111.55,107.6,5.0,112.5,Over,Not conclusive,122,Correct,1,29,0.83,5.7700000000000005,19.9,,3.9799999999999995,0,7,56.86
29,2021-03-15,TeamScore,Indiana Pacers,39,GradientBoostingRegressor,5,109,112.49,107.0,4.0,111.9,Over,Not conclusive,106,Incorrect,1,30,-1.0,4.7700000000000005,15.9,,3.9799999999999995,0,7,56.86
30,2021-03-17,TeamScore,Indiana Pacers,40,GradientBoostingRegressor,5,116,109.5,108.6,2.0,110.0,Under,Prediction is UNDER 116,115,Correct,1,31,0.83,5.6000000000000005,18.06,0.83,4.81,1,8,60.12
31,2021-03-19,TeamScore,Indiana Pacers,41,GradientBoostingRegressor,5,105,110.6,99.2,2.0,113.0,Over,Not conclusive,137,Correct,1,32,0.83,6.430000000000001,20.09,,4.81,0,8,60.12
