,Date,MarketPredicted,Team,GameNumber,Regressor,Estimatororneigbor,BookiePrediction,TeamAvg10Games,OpponentAvg10Games,OpponentFormOver10Games,ModelScorePrediction,ModelResultPrediction,FormulaPrediction,RealScore,SystemResult,BetReturn,RunningTotalAll,BetReturn%,BetReturnWithoutNC,RunningTotalWithoutNC,TotalConclusives,TotalConclusiveGames,BetReturnWithoutNC%
0,2021-01-06,TeamScore,Los Angeles Clippers,10,DecisionTreeRegressor,poisson,119,110.84,117.89,5.0,110.56,Under,Not conclusive,108,Correct,0.83,0.83,83.0,,,0,0,
1,2021-01-08,TeamScore,Los Angeles Clippers,11,DecisionTreeRegressor,poisson,119,110.5,116.6,5.0,110.0,Under,Not conclusive,105,Correct,0.83,1.66,83.0,,,0,0,
2,2021-01-10,TeamScore,Los Angeles Clippers,12,DecisionTreeRegressor,poisson,116,109.54,120.8,7.0,111.4,Under,Not conclusive,130,Incorrect,-1.0,0.6599999999999999,22.0,,,0,0,
3,2021-01-13,TeamScore,Los Angeles Clippers,13,DecisionTreeRegressor,poisson,112,110.34,109.5,6.0,110.4,Under,Not conclusive,111,Correct,0.83,1.4899999999999998,37.25,,,0,0,
4,2021-01-15,TeamScore,Los Angeles Clippers,14,DecisionTreeRegressor,poisson,120,114.79,126.1,9.0,116.9,Under,Not conclusive,138,Incorrect,-1.0,0.48999999999999977,9.8,,,0,0,
5,2021-01-17,TeamScore,Los Angeles Clippers,15,DecisionTreeRegressor,poisson,112,116.24,111.5,6.0,117.4,Over,Not conclusive,129,Correct,0.83,1.3199999999999998,22.0,,,0,0,
6,2021-01-20,TeamScore,Los Angeles Clippers,16,DecisionTreeRegressor,poisson,122,116.21,126.7,8.0,116.1,Under,Not conclusive,115,Correct,0.83,2.15,30.71,,,0,0,
7,2021-01-22,TeamScore,Los Angeles Clippers,17,DecisionTreeRegressor,poisson,114,117.91,114.9,7.0,118.1,Over,Prediction is OVER 114,120,Correct,0.83,2.98,37.25,0.83,0.83,1,1,83.0
8,2021-01-24,TeamScore,Los Angeles Clippers,18,DecisionTreeRegressor,poisson,115,118.67,113.6,6.0,117.7,Over,Not conclusive,108,Incorrect,-1.0,1.98,22.0,,0.83,0,1,83.0
9,2021-01-26,TeamScore,Los Angeles Clippers,19,DecisionTreeRegressor,poisson,113,118.03,110.5,5.0,116.3,Over,Not conclusive,99,Incorrect,-1.0,0.98,9.8,,0.83,0,1,83.0
10,2021-01-28,TeamScore,Los Angeles Clippers,20,DecisionTreeRegressor,poisson,113,117.14,110.3,3.0,116.4,Over,Not conclusive,109,Incorrect,-1.0,-0.020000000000000018,-0.18,,0.83,0,1,83.0
11,2021-01-29,TeamScore,Los Angeles Clippers,21,DecisionTreeRegressor,poisson,113,117.65,112.6,7.0,117.5,Over,Not conclusive,116,Correct,0.83,0.8099999999999999,6.75,,0.83,0,1,83.0
12,2021-01-31,TeamScore,Los Angeles Clippers,22,DecisionTreeRegressor,poisson,106,116.24,102.2,5.0,117.4,Over,Not conclusive,129,Correct,0.83,1.64,12.62,,0.83,0,1,83.0
13,2021-02-02,TeamScore,Los Angeles Clippers,23,DecisionTreeRegressor,poisson,118,118.13,123.0,9.0,118.3,Over,Prediction is OVER 118,120,Correct,0.83,2.4699999999999998,17.64,0.83,1.66,1,2,83.0
14,2021-02-03,TeamScore,Los Angeles Clippers,24,DecisionTreeRegressor,poisson,111,116.16,116.4,9.0,116.6,Over,Prediction is OVER 111,121,Correct,0.83,3.3,22.0,0.83,2.4899999999999998,1,3,83.0
15,2021-02-05,TeamScore,Los Angeles Clippers,25,DecisionTreeRegressor,poisson,111,115.22,107.8,5.0,115.2,Over,Not conclusive,115,Correct,0.83,4.13,25.81,,2.4899999999999998,0,3,83.0
16,2021-02-07,TeamScore,Los Angeles Clippers,26,DecisionTreeRegressor,poisson,120,115.17,111.6,3.0,114.7,Under,Prediction is UNDER 120,110,Correct,0.83,4.96,29.18,0.83,3.32,1,4,83.0
17,2021-02-10,TeamScore,Los Angeles Clippers,27,DecisionTreeRegressor,poisson,117,114.16,114.5,6.0,114.6,Under,Not conclusive,119,Incorrect,-1.0,3.96,22.0,,3.32,0,4,83.0
18,2021-02-12,TeamScore,Los Angeles Clippers,28,DecisionTreeRegressor,poisson,118,115.43,110.7,6.0,116.3,Under,Not conclusive,125,Incorrect,-1.0,2.96,15.58,,3.32,0,4,83.0
19,2021-02-14,TeamScore,Los Angeles Clippers,29,DecisionTreeRegressor,poisson,115,118.32,118.6,9.0,119.2,Over,Prediction is OVER 115,128,Correct,0.83,3.79,18.95,0.83,4.1499999999999995,1,5,83.0
20,2021-02-15,TeamScore,Los Angeles Clippers,30,DecisionTreeRegressor,poisson,112,120.38,108.7,5.0,120.8,Over,Not conclusive,125,Correct,0.83,4.62,22.0,,4.1499999999999995,0,5,83.0
21,2021-02-17,TeamScore,Los Angeles Clippers,31,DecisionTreeRegressor,poisson,112,121.08,106.4,6.0,118.8,Over,Not conclusive,96,Incorrect,-1.0,3.62,16.45,,4.1499999999999995,0,5,83.0
22,2021-02-19,TeamScore,Los Angeles Clippers,32,DecisionTreeRegressor,poisson,112,117.65,106.9,6.0,117.5,Over,Not conclusive,116,Correct,0.83,4.45,19.35,,4.1499999999999995,0,5,83.0
23,2021-02-21,TeamScore,Los Angeles Clippers,33,DecisionTreeRegressor,poisson,121,117.13,115.5,6.0,116.3,Under,Not conclusive,108,Correct,0.83,5.28,22.0,,4.1499999999999995,0,5,83.0
24,2021-02-23,TeamScore,Los Angeles Clippers,34,DecisionTreeRegressor,poisson,121,115.97,116.6,6.0,117.7,Under,Not conclusive,135,Incorrect,-1.0,4.28,17.12,,4.1499999999999995,0,5,83.0
25,2021-02-25,TeamScore,Los Angeles Clippers,35,DecisionTreeRegressor,poisson,115,117.76,106.0,3.0,115.6,Over,Not conclusive,94,Incorrect,-1.0,3.2800000000000002,12.62,,4.1499999999999995,0,5,83.0
26,2021-02-26,TeamScore,Los Angeles Clippers,36,DecisionTreeRegressor,poisson,115,116.25,109.3,4.0,116.5,Over,Not conclusive,119,Correct,0.83,4.11,15.22,,4.1499999999999995,0,5,83.0
27,2021-02-28,TeamScore,Los Angeles Clippers,37,DecisionTreeRegressor,poisson,115,116.06,112.4,6.0,114.6,Under,Not conclusive,100,Correct,0.83,4.94,17.64,,4.1499999999999995,0,5,83.0
28,2021-03-02,TeamScore,Los Angeles Clippers,38,DecisionTreeRegressor,poisson,112,113.43,116.8,8.0,113.3,Over,Prediction is OVER 112,112,Incorrect,-1.0,3.9400000000000004,13.59,-1.0,3.1499999999999995,1,6,52.5
29,2021-03-04,TeamScore,Los Angeles Clippers,39,DecisionTreeRegressor,poisson,121,111.72,122.2,6.0,112.2,Under,Not conclusive,117,Correct,0.83,4.7700000000000005,15.9,,3.1499999999999995,0,6,52.5
30,2021-03-11,TeamScore,Los Angeles Clippers,40,DecisionTreeRegressor,poisson,116,110.97,115.4,7.0,112.7,Under,Not conclusive,130,Incorrect,-1.0,3.7700000000000005,12.16,,3.1499999999999995,0,6,52.5
31,2021-03-14,TeamScore,Los Angeles Clippers,41,DecisionTreeRegressor,poisson,118,114.56,117.6,7.0,114.6,Under,Not conclusive,115,Correct,0.83,4.6000000000000005,14.38,,3.1499999999999995,0,6,52.5
32,2021-03-15,TeamScore,Los Angeles Clippers,42,DecisionTreeRegressor,poisson,115,114.39,103.8,3.0,113.9,Under,Prediction is UNDER 115,109,Correct,0.83,5.430000000000001,16.45,0.83,3.9799999999999995,1,7,56.86
33,2021-03-17,TeamScore,Los Angeles Clippers,43,DecisionTreeRegressor,poisson,115,114.3,104.8,3.0,112.0,Under,Prediction is UNDER 115,89,Correct,0.83,6.260000000000001,18.41,0.83,4.81,1,8,60.12
34,2021-03-20,TeamScore,Los Angeles Clippers,44,DecisionTreeRegressor,poisson,116,109.6,111.1,5.0,111.0,Under,Not conclusive,125,Incorrect,-1.0,5.260000000000001,15.03,,4.81,0,8,60.12
35,2021-03-22,TeamScore,Los Angeles Clippers,45,DecisionTreeRegressor,poisson,116,112.95,102.3,3.0,113.5,Under,Prediction is UNDER 116,119,Incorrect,-1.0,4.260000000000001,11.83,-1.0,3.8099999999999996,1,9,42.33
36,2021-03-24,TeamScore,Los Angeles Clippers,46,DecisionTreeRegressor,poisson,113,113.1,110.2,4.0,115.0,Over,Not conclusive,134,Correct,0.83,5.090000000000001,13.76,,3.8099999999999996,0,9,42.33
37,2021-03-25,TeamScore,Los Angeles Clippers,47,DecisionTreeRegressor,poisson,113,116.48,113.7,5.0,114.8,Over,Not conclusive,98,Incorrect,-1.0,4.090000000000001,10.76,,3.8099999999999996,0,9,42.33
38,2021-03-27,TeamScore,Los Angeles Clippers,48,DecisionTreeRegressor,poisson,113,115.18,103.5,1.0,115.8,Over,Not conclusive,122,Correct,0.83,4.920000000000001,12.62,,3.8099999999999996,0,9,42.33
39,2021-03-29,TeamScore,Los Angeles Clippers,49,DecisionTreeRegressor,poisson,118,115.8,113.1,6.0,117.0,Under,Not conclusive,129,Incorrect,-1.0,3.920000000000001,9.8,,3.8099999999999996,0,9,42.33
40,2021-03-30,TeamScore,Los Angeles Clippers,50,DecisionTreeRegressor,poisson,114,115.36,109.1,2.0,113.6,Under,Not conclusive,96,Correct,0.83,4.750000000000001,11.59,,3.8099999999999996,0,9,42.33
