,Date,MarketPredicted,Team,GameNumber,Regressor,Estimatororneigbor,BookiePrediction,TeamAvg10Games,OpponentAvg10Games,OpponentFormOver10Games,ModelScorePrediction,ModelResultPrediction,FormulaPrediction,RealScore,SystemResult,Gamenumberfor%,TotalGames,BetReturn,RunningTotalAll,BetReturn%,BetReturnWithoutNC,RunningTotalWithoutNC,TotalConclusives,TotalConclusiveGames,BetReturnWithoutNC%
0,2021-01-08,TeamScore,Milwaukee Bucks,10,GradientBoostingRegressor,5,116,125.16,111.11,4.0,124.44,Over,Not conclusive,118,Correct,1,1,0.83,0.83,83.0,,,0,0,
1,2021-01-09,TeamScore,Milwaukee Bucks,11,GradientBoostingRegressor,5,116,124.2,103.0,3.0,122.0,Over,Not conclusive,100,Incorrect,1,2,-1.0,-0.17000000000000004,-8.5,,,0,0,
2,2021-01-11,TeamScore,Milwaukee Bucks,12,GradientBoostingRegressor,5,118,122.1,110.6,6.0,122.0,Over,Not conclusive,121,Correct,1,3,0.83,0.6599999999999999,22.0,,,0,0,
3,2021-01-13,TeamScore,Milwaukee Bucks,13,GradientBoostingRegressor,5,122,120.12,112.5,5.0,119.2,Under,Not conclusive,110,Correct,1,4,0.83,1.4899999999999998,37.25,,,0,0,
4,2021-01-15,TeamScore,Milwaukee Bucks,14,GradientBoostingRegressor,5,116,120.14,107.2,5.0,119.4,Over,Not conclusive,112,Incorrect,1,5,-1.0,0.48999999999999977,9.8,,,0,0,
5,2021-01-18,TeamScore,Milwaukee Bucks,15,GradientBoostingRegressor,5,121,116.73,116.7,8.0,117.3,Under,Not conclusive,123,Incorrect,1,6,-1.0,-0.5100000000000002,-8.5,,,0,0,
6,2021-01-21,TeamScore,Milwaukee Bucks,16,GradientBoostingRegressor,5,113,118.21,103.3,3.0,117.1,Over,Not conclusive,106,Incorrect,1,7,-1.0,-1.5100000000000002,-21.57,,,0,0,
7,2021-01-24,TeamScore,Milwaukee Bucks,17,GradientBoostingRegressor,5,118,116.24,108.9,5.0,117.4,Under,Not conclusive,129,Incorrect,1,8,-1.0,-2.5100000000000002,-31.38,,,0,0,
8,2021-01-27,TeamScore,Milwaukee Bucks,18,GradientBoostingRegressor,5,116,116.54,107.8,5.0,116.4,Over,Not conclusive,115,Incorrect,1,9,-1.0,-3.5100000000000002,-39.0,,,0,0,
9,2021-01-29,TeamScore,Milwaukee Bucks,19,GradientBoostingRegressor,5,119,115.0,118.9,7.0,116.0,Under,Not conclusive,126,Incorrect,1,10,-1.0,-4.51,-45.1,,,0,0,
10,2021-01-30,TeamScore,Milwaukee Bucks,20,GradientBoostingRegressor,5,116,115.76,108.9,6.0,115.6,Under,Not conclusive,114,Correct,1,11,0.83,-3.6799999999999997,-33.45,,,0,0,
11,2021-02-01,TeamScore,Milwaukee Bucks,21,GradientBoostingRegressor,5,123,117.5,118.7,7.0,119.0,Under,Not conclusive,134,Incorrect,1,12,-1.0,-4.68,-39.0,,,0,0,
12,2021-02-03,TeamScore,Milwaukee Bucks,22,GradientBoostingRegressor,5,120,118.89,112.8,6.0,119.9,Under,Not conclusive,130,Incorrect,1,13,-1.0,-5.68,-43.69,,,0,0,
13,2021-02-05,TeamScore,Milwaukee Bucks,23,GradientBoostingRegressor,5,117,121.02,114.4,9.0,121.2,Over,Not conclusive,123,Correct,1,14,0.83,-4.85,-34.64,,,0,0,
14,2021-02-06,TeamScore,Milwaukee Bucks,24,GradientBoostingRegressor,5,117,122.24,116.4,9.0,122.4,Over,Not conclusive,124,Correct,1,15,0.83,-4.02,-26.8,,,0,0,
15,2021-02-08,TeamScore,Milwaukee Bucks,25,GradientBoostingRegressor,5,121,122.36,112.2,8.0,122.6,Over,Not conclusive,125,Correct,1,16,0.83,-3.1899999999999995,-19.94,,,0,0,
16,2021-02-10,TeamScore,Milwaukee Bucks,26,GradientBoostingRegressor,5,115,124.44,106.2,5.0,124.4,Over,Not conclusive,124,Correct,1,17,0.83,-2.3599999999999994,-13.88,,,0,0,
17,2021-02-12,TeamScore,Milwaukee Bucks,27,GradientBoostingRegressor,5,114,123.8,106.2,5.0,123.0,Over,Not conclusive,115,Correct,1,18,0.83,-1.5299999999999994,-8.5,,,0,0,
18,2021-02-14,TeamScore,Milwaukee Bucks,28,GradientBoostingRegressor,5,121,123.74,114.8,5.0,122.4,Over,Not conclusive,109,Incorrect,1,19,-1.0,-2.5299999999999994,-13.32,,,0,0,
19,2021-02-16,TeamScore,Milwaukee Bucks,29,GradientBoostingRegressor,5,121,121.91,116.2,7.0,121.1,Over,Not conclusive,113,Incorrect,1,20,-1.0,-3.5299999999999994,-17.65,,,0,0,
20,2021-02-18,TeamScore,Milwaukee Bucks,30,GradientBoostingRegressor,5,120,121.63,113.2,6.0,119.3,Under,Not conclusive,96,Correct,1,21,0.83,-2.6999999999999993,-12.86,,,0,0,
21,2021-02-19,TeamScore,Milwaukee Bucks,31,GradientBoostingRegressor,5,120,117.47,109.9,4.0,115.7,Under,Prediction is UNDER 120,98,Correct,1,22,0.83,-1.8699999999999992,-8.5,0.83,0.83,1,1,83.0
22,2021-02-21,TeamScore,Milwaukee Bucks,32,GradientBoostingRegressor,5,125,114.25,122.1,8.0,115.5,Under,Not conclusive,128,Incorrect,1,23,-1.0,-2.869999999999999,-12.48,,0.83,0,1,83.0
23,2021-02-23,TeamScore,Milwaukee Bucks,33,GradientBoostingRegressor,5,122,114.91,117.2,6.0,117.1,Under,Not conclusive,139,Incorrect,1,24,-1.0,-3.869999999999999,-16.12,,0.83,0,1,83.0
24,2021-02-25,TeamScore,Milwaukee Bucks,34,GradientBoostingRegressor,5,122,116.46,124.5,9.0,117.6,Under,Not conclusive,129,Incorrect,1,25,-1.0,-4.869999999999999,-19.48,,0.83,0,1,83.0
25,2021-02-28,TeamScore,Milwaukee Bucks,35,GradientBoostingRegressor,5,118,116.66,113.6,8.0,115.6,Under,Not conclusive,105,Correct,1,26,0.83,-4.039999999999999,-15.54,,0.83,0,1,83.0
26,2021-03-02,TeamScore,Milwaukee Bucks,36,GradientBoostingRegressor,5,120,114.49,109.6,4.0,112.9,Under,Prediction is UNDER 120,97,Correct,1,27,0.83,-3.209999999999999,-11.89,0.83,1.66,1,2,83.0
27,2021-03-04,TeamScore,Milwaukee Bucks,37,GradientBoostingRegressor,5,119,112.66,108.7,4.0,112.6,Under,Prediction is UNDER 119,112,Correct,1,28,0.83,-2.379999999999999,-8.5,0.83,2.4899999999999998,1,3,83.0
28,2021-03-11,TeamScore,Milwaukee Bucks,38,GradientBoostingRegressor,5,113,113.21,107.2,7.0,115.1,Over,Not conclusive,134,Correct,1,29,0.83,-1.549999999999999,-5.34,,2.4899999999999998,0,3,83.0
29,2021-03-13,TeamScore,Milwaukee Bucks,39,GradientBoostingRegressor,5,124,115.43,122.2,6.0,116.3,Under,Not conclusive,125,Incorrect,1,30,-1.0,-2.549999999999999,-8.5,,2.4899999999999998,0,3,83.0
30,2021-03-15,TeamScore,Milwaukee Bucks,40,GradientBoostingRegressor,5,125,118.7,120.8,6.0,120.0,Under,Not conclusive,133,Incorrect,1,31,-1.0,-3.549999999999999,-11.45,,2.4899999999999998,0,3,83.0
31,2021-03-17,TeamScore,Milwaukee Bucks,41,GradientBoostingRegressor,5,118,122.31,105.9,3.0,121.1,Over,Not conclusive,109,Incorrect,1,32,-1.0,-4.549999999999999,-14.22,,2.4899999999999998,0,3,83.0
32,2021-03-20,TeamScore,Milwaukee Bucks,42,GradientBoostingRegressor,5,118,120.33,109.5,6.0,120.3,Over,Not conclusive,120,Correct,1,33,0.83,-3.719999999999999,-11.27,,2.4899999999999998,0,3,83.0
33,2021-03-22,TeamScore,Milwaukee Bucks,43,GradientBoostingRegressor,5,120,118.44,117.1,6.0,120.4,Over,Not conclusive,140,Correct,1,34,0.83,-2.889999999999999,-8.5,,2.4899999999999998,0,3,83.0
34,2021-03-24,TeamScore,Milwaukee Bucks,44,GradientBoostingRegressor,5,119,119.46,114.4,7.0,119.6,Over,Not conclusive,121,Correct,1,35,0.83,-2.0599999999999987,-5.89,,2.4899999999999998,0,3,83.0
35,2021-03-26,TeamScore,Milwaukee Bucks,45,GradientBoostingRegressor,5,119,121.15,115.5,8.0,120.5,Over,Not conclusive,114,Incorrect,1,36,-1.0,-3.0599999999999987,-8.5,,2.4899999999999998,0,3,83.0
36,2021-03-27,TeamScore,Milwaukee Bucks,46,GradientBoostingRegressor,5,113,122.84,107.9,5.0,120.4,Over,Not conclusive,96,Incorrect,1,37,-1.0,-4.059999999999999,-10.97,,2.4899999999999998,0,3,83.0
37,2021-03-29,TeamScore,Milwaukee Bucks,47,GradientBoostingRegressor,5,115,121.17,107.3,4.0,119.7,Over,Not conclusive,105,Incorrect,1,38,-1.0,-5.059999999999999,-13.32,,2.4899999999999998,0,3,83.0
38,2021-03-31,TeamScore,Milwaukee Bucks,48,GradientBoostingRegressor,5,113,118.05,104.9,5.0,117.5,Over,Not conclusive,112,Incorrect,1,39,-1.0,-6.059999999999999,-15.54,,2.4899999999999998,0,3,83.0
39,2021-04-02,TeamScore,Milwaukee Bucks,49,GradientBoostingRegressor,5,122,116.77,115.6,6.0,117.7,Under,Not conclusive,127,Incorrect,1,40,-1.0,-7.059999999999999,-17.65,,2.4899999999999998,0,3,83.0
40,2021-04-03,TeamScore,Milwaukee Bucks,50,GradientBoostingRegressor,5,125,116.13,112.4,4.0,117.3,Under,Prediction is UNDER 125,129,Incorrect,1,41,-1.0,-8.059999999999999,-19.66,-1.0,1.4899999999999998,1,4,37.25
41,2021-04-06,TeamScore,Milwaukee Bucks,51,GradientBoostingRegressor,5,120,118.25,114.6,5.0,118.5,Under,Not conclusive,121,Incorrect,1,42,-1.0,-9.059999999999999,-21.57,,1.4899999999999998,0,4,37.25
42,2021-04-08,TeamScore,Milwaukee Bucks,52,GradientBoostingRegressor,5,116,118.16,102.2,0.0,116.6,Over,Not conclusive,101,Incorrect,1,43,-1.0,-10.059999999999999,-23.4,,1.4899999999999998,0,4,37.25
43,2021-04-09,TeamScore,Milwaukee Bucks,53,GradientBoostingRegressor,5,119,114.05,105.7,2.0,114.5,Under,Prediction is UNDER 119,119,Incorrect,1,44,-1.0,-11.059999999999999,-25.14,-1.0,0.48999999999999977,1,5,9.8
44,2021-04-11,TeamScore,Milwaukee Bucks,54,GradientBoostingRegressor,5,117,113.88,114.7,4.0,114.8,Under,Prediction is UNDER 117,124,Incorrect,1,45,-1.0,-12.059999999999999,-26.8,-1.0,-0.5100000000000002,1,6,-8.5
45,2021-04-14,TeamScore,Milwaukee Bucks,55,GradientBoostingRegressor,5,122,115.04,119.4,6.0,116.4,Under,Not conclusive,130,Incorrect,1,46,-1.0,-13.059999999999999,-28.39,,-0.5100000000000002,0,6,-8.5
46,2021-04-15,TeamScore,Milwaukee Bucks,56,GradientBoostingRegressor,5,119,118.68,113.6,4.0,118.8,Under,Prediction is UNDER 119,120,Incorrect,1,47,-1.0,-14.059999999999999,-29.91,-1.0,-1.5100000000000002,1,7,-21.57
47,2021-04-17,TeamScore,Milwaukee Bucks,57,GradientBoostingRegressor,5,120,120.28,116.3,6.0,119.8,Under,Not conclusive,115,Correct,1,48,0.83,-13.229999999999999,-27.56,,-1.5100000000000002,0,7,-21.57
