,Date,MarketPredicted,Team,GameNumber,Regressor,Estimatororneigbor,BookiePrediction,TeamAvg10Games,OpponentAvg10Games,OpponentFormOver10Games,ModelScorePrediction,ModelResultPrediction,FormulaPrediction,RealScore,SystemResult,BetReturn,RunningTotalAll,BetReturn%,BetReturnWithoutNC,RunningTotalWithoutNC,TotalConclusives,TotalConclusiveGames,BetReturnWithoutNC%
0,2021-01-08,TeamScore,New Orleans Pelicans,10,DecisionTreeRegressor,mse,111,106.79,110.0,3.0,107.11,Under,Prediction is UNDER 111,110,Correct,0.83,0.83,83.0,0.83,0.83,1,1,83.0
1,2021-01-13,TeamScore,New Orleans Pelicans,11,DecisionTreeRegressor,mse,107,107.1,109.2,4.0,107.0,Over,Not conclusive,106,Incorrect,-1.0,-0.17000000000000004,-8.5,,0.83,0,1,83.0
2,2021-01-15,TeamScore,New Orleans Pelicans,12,DecisionTreeRegressor,mse,105,106.22,105.2,4.0,105.2,Over,Not conclusive,95,Incorrect,-1.0,-1.17,-39.0,,0.83,0,1,83.0
3,2021-01-17,TeamScore,New Orleans Pelicans,13,DecisionTreeRegressor,mse,117,106.22,123.9,9.0,108.2,Under,Not conclusive,128,Incorrect,-1.0,-2.17,-54.25,,0.83,0,1,83.0
4,2021-01-19,TeamScore,New Orleans Pelicans,14,DecisionTreeRegressor,mse,105,109.26,104.5,3.0,108.6,Over,Not conclusive,102,Incorrect,-1.0,-3.17,-63.4,,0.83,0,1,83.0
5,2021-01-21,TeamScore,New Orleans Pelicans,15,DecisionTreeRegressor,mse,105,111.18,104.1,3.0,111.8,Over,Not conclusive,118,Correct,0.83,-2.34,-39.0,,0.83,0,1,83.0
6,2021-01-23,TeamScore,New Orleans Pelicans,16,DecisionTreeRegressor,mse,115,111.65,114.4,5.0,111.5,Under,Not conclusive,110,Correct,0.83,-1.5099999999999998,-21.57,,0.83,0,1,83.0
7,2021-01-27,TeamScore,New Orleans Pelicans,17,DecisionTreeRegressor,mse,117,110.69,122.8,6.0,111.9,Under,Not conclusive,124,Incorrect,-1.0,-2.51,-31.37,,0.83,0,1,83.0
8,2021-01-29,TeamScore,New Orleans Pelicans,18,DecisionTreeRegressor,mse,111,111.64,110.6,5.0,113.4,Over,Not conclusive,131,Correct,0.83,-1.6799999999999997,-18.67,,0.83,0,1,83.0
9,2021-01-30,TeamScore,New Orleans Pelicans,19,DecisionTreeRegressor,mse,110,113.76,107.0,4.0,113.6,Over,Not conclusive,112,Correct,0.83,-0.8499999999999998,-8.5,,0.83,0,1,83.0
