,Date,MarketPredicted,Team,GameNumber,Regressor,Estimatororneigbor,BookiePrediction,TeamAvg10Games,OpponentAvg10Games,OpponentFormOver10Games,ModelScorePrediction,ModelResultPrediction,FormulaPrediction,RealScore,SystemResult,BetReturn,RunningTotalAll,BetReturn%,BetReturnWithoutNC,RunningTotalWithoutNC,TotalConclusives,TotalConclusiveGames,BetReturnWithoutNC%
0,2021-01-08,TeamScore,New York Knicks,10,LinearRegression,5,105,104.19,108.89,5.0,102.67,Under,Not conclusive,89,Correct,0.83,0.83,83.0,,,0,0,
1,2021-01-10,TeamScore,New York Knicks,11,LinearRegression,5,109,102.53,112.8,5.0,101.3,Under,Not conclusive,89,Correct,0.83,1.66,83.0,,,0,0,
2,2021-01-11,TeamScore,New York Knicks,12,LinearRegression,5,103,100.54,106.2,2.0,99.4,Under,Not conclusive,88,Correct,0.83,2.4899999999999998,83.0,,,0,0,
3,2021-01-13,TeamScore,New York Knicks,13,LinearRegression,5,107,100.64,116.5,7.0,101.4,Under,Not conclusive,109,Incorrect,-1.0,1.4899999999999998,37.25,,,0,0,
4,2021-01-15,TeamScore,New York Knicks,14,LinearRegression,5,100,98.27,102.4,3.0,98.7,Under,Not conclusive,103,Incorrect,-1.0,0.48999999999999977,9.8,,,0,0,
5,2021-01-17,TeamScore,New York Knicks,15,LinearRegression,5,102,99.17,109.0,5.0,99.7,Under,Not conclusive,105,Incorrect,-1.0,-0.5100000000000002,-8.5,,,0,0,
6,2021-01-18,TeamScore,New York Knicks,16,LinearRegression,5,105,101.45,108.3,5.0,100.5,Under,Not conclusive,91,Correct,0.83,0.31999999999999973,4.57,,,0,0,
7,2021-01-21,TeamScore,New York Knicks,17,LinearRegression,5,104,100.08,110.0,2.0,101.8,Under,Not conclusive,119,Incorrect,-1.0,-0.6800000000000003,-8.5,,,0,0,
8,2021-01-22,TeamScore,New York Knicks,18,LinearRegression,5,112,100.49,122.9,7.0,99.9,Under,Not conclusive,94,Correct,0.83,0.1499999999999997,1.67,,,0,0,
9,2021-01-24,TeamScore,New York Knicks,19,LinearRegression,5,105,98.7,114.2,5.0,100.0,Under,Not conclusive,113,Incorrect,-1.0,-0.8500000000000003,-8.5,,,0,0,
10,2021-01-26,TeamScore,New York Knicks,20,LinearRegression,5,99,101.15,99.7,2.0,100.5,Over,Not conclusive,94,Incorrect,-1.0,-1.8500000000000003,-16.82,,,0,0,
11,2021-01-29,TeamScore,New York Knicks,21,LinearRegression,5,101,101.78,114.3,9.0,101.8,Over,Prediction is OVER 101,102,Correct,0.83,-1.0200000000000005,-8.5,0.83,0.83,1,1,83.0
12,2021-01-31,TeamScore,New York Knicks,22,LinearRegression,5,99,103.45,102.2,3.0,104.5,Over,Not conclusive,115,Correct,0.83,-0.1900000000000005,-1.46,,0.83,0,1,83.0
13,2021-02-01,TeamScore,New York Knicks,23,LinearRegression,5,107,103.98,109.8,5.0,103.8,Under,Not conclusive,102,Correct,0.83,0.6399999999999995,4.57,,0.83,0,1,83.0
14,2021-02-03,TeamScore,New York Knicks,24,LinearRegression,5,107,103.92,110.2,5.0,104.2,Under,Not conclusive,107,Incorrect,-1.0,-0.36000000000000054,-2.4,,0.83,0,1,83.0
15,2021-02-06,TeamScore,New York Knicks,25,LinearRegression,5,108,104.17,114.5,6.0,104.7,Under,Not conclusive,110,Incorrect,-1.0,-1.3600000000000005,-8.5,,0.83,0,1,83.0
16,2021-02-07,TeamScore,New York Knicks,26,LinearRegression,5,101,106.19,104.0,2.0,105.9,Over,Not conclusive,103,Correct,0.83,-0.5300000000000006,-3.12,,0.83,0,1,83.0
17,2021-02-09,TeamScore,New York Knicks,27,LinearRegression,5,98,104.36,105.4,3.0,103.6,Over,Not conclusive,96,Incorrect,-1.0,-1.5300000000000007,-8.5,,0.83,0,1,83.0
18,2021-02-12,TeamScore,New York Knicks,28,LinearRegression,5,111,104.71,113.7,6.0,105.1,Under,Not conclusive,109,Correct,0.83,-0.7000000000000007,-3.68,,0.83,0,1,83.0
19,2021-02-13,TeamScore,New York Knicks,29,LinearRegression,5,101,104.39,114.4,6.0,105.9,Over,Prediction is OVER 101,121,Correct,0.83,0.12999999999999923,0.65,0.83,1.66,1,2,83.0
20,2021-02-15,TeamScore,New York Knicks,30,LinearRegression,5,105,107.38,118.8,9.0,108.8,Over,Prediction is OVER 105,123,Correct,0.83,0.9599999999999992,4.57,0.83,2.4899999999999998,1,3,83.0
21,2021-02-17,TeamScore,New York Knicks,31,LinearRegression,5,104,109.35,112.2,5.0,107.5,Over,Not conclusive,89,Incorrect,-1.0,-0.04000000000000081,-0.18,,2.4899999999999998,0,3,83.0
22,2021-02-21,TeamScore,New York Knicks,32,LinearRegression,5,108,106.63,113.6,5.0,106.3,Under,Not conclusive,103,Correct,0.83,0.7899999999999991,3.43,,2.4899999999999998,0,3,83.0
23,2021-02-23,TeamScore,New York Knicks,33,LinearRegression,5,104,106.77,111.1,6.0,106.7,Over,Prediction is OVER 104,106,Correct,0.83,1.6199999999999992,6.75,0.83,3.32,1,4,83.0
24,2021-02-25,TeamScore,New York Knicks,34,LinearRegression,5,112,107.0,124.4,9.0,110.0,Under,Not conclusive,140,Incorrect,-1.0,0.6199999999999992,2.48,,3.32,0,4,83.0
