,Date,MarketPredicted,Team,GameNumber,Regressor,Estimatororneigbor,BookiePrediction,TeamAvg10Games,OpponentAvg10Games,OpponentFormOver10Games,ModelScorePrediction,ModelResultPrediction,FormulaPrediction,RealScore,SystemResult,Gamenumberfor%,TotalGames,BetReturn,RunningTotalAll,BetReturn%,BetReturnWithoutNC,RunningTotalWithoutNC,TotalConclusives,TotalConclusiveGames,BetReturnWithoutNC%
0,2021-01-08,TeamScore,Phoenix Suns,10,GradientBoostingRegressor,5,112,109.69,117.56,6.0,109.22,Under,Not conclusive,105,Correct,1,1,0.83,0.83,83.0,,,0,0,
1,2021-01-09,TeamScore,Phoenix Suns,11,GradientBoostingRegressor,5,107,109.38,111.6,6.0,110.8,Over,Prediction is OVER 107,125,Correct,1,2,0.83,1.66,83.0,0.83,0.83,1,1,83.0
2,2021-01-11,TeamScore,Phoenix Suns,12,GradientBoostingRegressor,5,118,111.29,122.1,7.0,110.9,Under,Not conclusive,107,Correct,1,3,0.83,2.4899999999999998,83.0,,0.83,0,1,83.0
3,2021-01-18,TeamScore,Phoenix Suns,13,GradientBoostingRegressor,5,107,111.7,103.8,1.0,111.0,Over,Not conclusive,104,Incorrect,1,4,-1.0,1.4899999999999998,37.25,,0.83,0,1,83.0
4,2021-01-20,TeamScore,Phoenix Suns,14,GradientBoostingRegressor,5,109,110.43,109.0,5.0,110.3,Over,Not conclusive,109,Incorrect,1,5,-1.0,0.48999999999999977,9.8,,0.83,0,1,83.0
5,2021-01-22,TeamScore,Phoenix Suns,15,GradientBoostingRegressor,5,112,110.38,108.3,3.0,111.8,Under,Prediction is UNDER 112,126,Incorrect,1,6,-1.0,-0.5100000000000002,-8.5,-1.0,-0.17000000000000004,1,2,-8.5
6,2021-01-23,TeamScore,Phoenix Suns,16,GradientBoostingRegressor,5,112,112.44,110.3,4.0,112.4,Over,Not conclusive,112,Incorrect,1,7,-1.0,-1.5100000000000002,-21.57,,-0.17000000000000004,0,2,-8.5
7,2021-01-27,TeamScore,Phoenix Suns,17,GradientBoostingRegressor,5,111,112.95,114.9,7.0,111.5,Over,Prediction is OVER 111,97,Incorrect,1,8,-1.0,-2.5100000000000002,-31.38,-1.0,-1.17,1,3,-39.0
8,2021-01-28,TeamScore,Phoenix Suns,18,GradientBoostingRegressor,5,112,112.02,110.2,2.0,112.2,Over,Not conclusive,114,Correct,1,9,0.83,-1.6800000000000002,-18.67,,-1.17,0,3,-39.0
9,2021-01-30,TeamScore,Phoenix Suns,19,GradientBoostingRegressor,5,109,111.0,113.1,7.0,111.0,Over,Prediction is OVER 109,111,Correct,1,10,0.83,-0.8500000000000002,-8.5,0.83,-0.33999999999999997,1,4,-8.5
10,2021-02-01,TeamScore,Phoenix Suns,20,GradientBoostingRegressor,5,111,111.64,115.3,8.0,111.4,Over,Prediction is OVER 111,109,Incorrect,1,11,-1.0,-1.85,-16.82,-1.0,-1.3399999999999999,1,5,-26.8
11,2021-02-03,TeamScore,Phoenix Suns,21,GradientBoostingRegressor,5,112,109.8,117.9,7.0,109.0,Under,Not conclusive,101,Correct,1,12,0.83,-1.02,-8.5,,-1.3399999999999999,0,5,-26.8
12,2021-02-05,TeamScore,Phoenix Suns,22,GradientBoostingRegressor,5,112,109.22,110.6,6.0,109.2,Under,Not conclusive,109,Correct,1,13,0.83,-0.19000000000000006,-1.46,,-1.3399999999999999,0,5,-26.8
13,2021-02-07,TeamScore,Phoenix Suns,23,GradientBoostingRegressor,5,108,109.68,108.9,5.0,108.8,Over,Not conclusive,100,Incorrect,1,14,-1.0,-1.19,-8.5,,-1.3399999999999999,0,5,-26.8
14,2021-02-08,TeamScore,Phoenix Suns,24,GradientBoostingRegressor,5,109,108.88,116.4,9.0,109.8,Over,Not conclusive,119,Correct,1,15,0.83,-0.36,-2.4,,-1.3399999999999999,0,5,-26.8
15,2021-02-10,TeamScore,Phoenix Suns,25,GradientBoostingRegressor,5,110,108.17,112.5,4.0,109.7,Under,Not conclusive,125,Incorrect,1,16,-1.0,-1.3599999999999999,-8.5,,-1.3399999999999999,0,5,-26.8
16,2021-02-13,TeamScore,Phoenix Suns,26,GradientBoostingRegressor,5,109,109.55,110.0,4.0,110.5,Over,Not conclusive,120,Correct,1,17,0.83,-0.5299999999999999,-3.12,,-1.3399999999999999,0,5,-26.8
17,2021-02-14,TeamScore,Phoenix Suns,27,GradientBoostingRegressor,5,111,111.97,114.4,7.0,111.7,Over,Prediction is OVER 111,109,Incorrect,1,18,-1.0,-1.5299999999999998,-8.5,-1.0,-2.34,1,6,-39.0
18,2021-02-16,TeamScore,Phoenix Suns,28,GradientBoostingRegressor,5,118,111.57,119.4,8.0,112.7,Under,Not conclusive,124,Incorrect,1,19,-1.0,-2.53,-13.32,,-2.34,0,6,-39.0
19,2021-02-19,TeamScore,Phoenix Suns,29,GradientBoostingRegressor,5,113,113.08,117.6,5.0,114.8,Over,Not conclusive,132,Correct,1,20,0.83,-1.6999999999999997,-8.5,,-2.34,0,6,-39.0
20,2021-02-20,TeamScore,Phoenix Suns,30,GradientBoostingRegressor,5,109,115.57,113.4,6.0,116.7,Over,Prediction is OVER 109,128,Correct,1,21,0.83,-0.8699999999999998,-4.14,0.83,-1.5099999999999998,1,7,-21.57
21,2021-02-22,TeamScore,Phoenix Suns,31,GradientBoostingRegressor,5,116,118.58,113.2,6.0,119.8,Over,Not conclusive,132,Correct,1,22,0.83,-0.039999999999999813,-0.18,,-1.5099999999999998,0,7,-21.57
22,2021-02-24,TeamScore,Phoenix Suns,32,GradientBoostingRegressor,5,111,121.0,116.6,8.0,121.0,Over,Prediction is OVER 111,121,Correct,1,23,0.83,0.7900000000000001,3.43,0.83,-0.6799999999999998,1,8,-8.5
23,2021-02-26,TeamScore,Phoenix Suns,33,GradientBoostingRegressor,5,113,123.16,111.8,4.0,121.6,Over,Not conclusive,106,Incorrect,1,24,-1.0,-0.20999999999999985,-0.87,,-0.6799999999999998,0,8,-8.5
24,2021-02-28,TeamScore,Phoenix Suns,34,GradientBoostingRegressor,5,115,121.85,118.5,6.0,121.5,Over,Prediction is OVER 115,118,Correct,1,25,0.83,0.6200000000000001,2.48,0.83,0.15000000000000013,1,9,1.67
25,2021-03-02,TeamScore,Phoenix Suns,35,GradientBoostingRegressor,5,104,121.04,109.5,7.0,120.4,Over,Prediction is OVER 104,114,Correct,1,26,0.83,1.4500000000000002,5.58,0.83,0.9800000000000001,1,10,9.8
26,2021-03-04,TeamScore,Phoenix Suns,36,GradientBoostingRegressor,5,0,120.44,112.6,7.0,120.4,Over,Prediction is OVER 0,120,Correct,1,27,0.83,2.2800000000000002,8.44,0.83,1.81,1,11,16.45
27,2021-03-11,TeamScore,Phoenix Suns,37,GradientBoostingRegressor,5,115,121.72,115.4,5.0,122.2,Over,Not conclusive,127,Correct,1,28,0.83,3.1100000000000003,11.11,,1.81,0,11,16.45
