,Date,MarketPredicted,Team,GameNumber,Regressor,Estimatororneigbor,BookiePrediction,TeamAvg10Games,OpponentAvg10Games,OpponentFormOver10Games,ModelScorePrediction,ModelResultPrediction,FormulaPrediction,RealScore,SystemResult,BetReturn,RunningTotalAll,BetReturn%,BetReturnWithoutNC,RunningTotalWithoutNC,TotalConclusives,TotalConclusiveGames,BetReturnWithoutNC%
0,2021-01-09,TeamScore,San Antonio Spurs,10,DecisionTreeRegressor,mse,121,112.41,122.22,7.0,113.67,Under,Not conclusive,125,Incorrect,-1.0,-1.0,-100.0,,,0,0,
1,2021-01-10,TeamScore,San Antonio Spurs,11,DecisionTreeRegressor,mse,121,113.41,118.8,7.0,111.1,Under,Not conclusive,88,Correct,0.83,-0.17000000000000004,-8.5,,,0,0,
2,2021-01-12,TeamScore,San Antonio Spurs,12,DecisionTreeRegressor,mse,113,108.92,111.3,6.0,109.2,Under,Not conclusive,112,Correct,0.83,0.6599999999999999,22.0,,,0,0,
3,2021-01-14,TeamScore,San Antonio Spurs,13,DecisionTreeRegressor,mse,115,108.08,110.0,5.0,107.8,Under,Not conclusive,105,Correct,0.83,1.4899999999999998,37.25,,,0,0,
4,2021-01-16,TeamScore,San Antonio Spurs,14,DecisionTreeRegressor,mse,113,109.16,109.0,5.0,108.6,Under,Not conclusive,103,Correct,0.83,2.32,46.4,,,0,0,
5,2021-01-18,TeamScore,San Antonio Spurs,15,DecisionTreeRegressor,mse,114,108.94,114.1,4.0,110.4,Under,Not conclusive,125,Incorrect,-1.0,1.3199999999999998,22.0,,,0,0,
6,2021-01-20,TeamScore,San Antonio Spurs,16,DecisionTreeRegressor,mse,112,111.1,109.5,2.0,110.0,Under,Prediction is UNDER 112,99,Correct,0.83,2.15,30.71,0.83,0.83,1,1,83.0
7,2021-01-22,TeamScore,San Antonio Spurs,17,DecisionTreeRegressor,mse,109,110.18,111.5,6.0,110.8,Over,Prediction is OVER 109,117,Correct,0.83,2.98,37.25,0.83,1.66,1,2,83.0
8,2021-01-24,TeamScore,San Antonio Spurs,18,DecisionTreeRegressor,mse,120,110.33,123.8,6.0,111.3,Under,Not conclusive,121,Incorrect,-1.0,1.98,22.0,,1.66,0,2,83.0
9,2021-01-27,TeamScore,San Antonio Spurs,19,DecisionTreeRegressor,mse,112,110.55,106.5,4.0,110.5,Under,Prediction is UNDER 112,110,Correct,0.83,2.81,28.1,0.83,2.4899999999999998,1,3,83.0
