,Date,MarketPredicted,Team,GameNumber,Regressor,Estimatororneigbor,BookiePrediction,TeamAvg10Games,OpponentAvg10Games,OpponentFormOver10Games,ModelScorePrediction,ModelResultPrediction,FormulaPrediction,RealScore,SystemResult,BetReturn,RunningTotalAll,BetReturn%,BetReturnWithoutNC,RunningTotalWithoutNC,TotalConclusives,TotalConclusiveGames,BetReturnWithoutNC%
0,2021-01-10,TeamScore,Toronto Raptors,10,DecisionTreeRegressor,poisson,115,111.79,117.89,5.0,111.11,Under,Not conclusive,105,Correct,0.83,0.83,83.0,,,0,0,
1,2021-01-11,TeamScore,Toronto Raptors,11,DecisionTreeRegressor,poisson,116,111.11,115.4,5.0,111.1,Under,Not conclusive,111,Correct,0.83,1.66,83.0,,,0,0,
2,2021-01-14,TeamScore,Toronto Raptors,12,DecisionTreeRegressor,poisson,109,112.43,106.2,2.0,112.3,Over,Not conclusive,111,Correct,0.83,2.4899999999999998,83.0,,,0,0,
3,2021-01-16,TeamScore,Toronto Raptors,13,DecisionTreeRegressor,poisson,111,112.15,105.7,2.0,112.5,Over,Not conclusive,116,Correct,0.83,3.32,83.0,,,0,0,
4,2021-01-18,TeamScore,Toronto Raptors,14,DecisionTreeRegressor,poisson,109,114.68,107.2,5.0,114.8,Over,Not conclusive,116,Correct,0.83,4.1499999999999995,83.0,,,0,0,
5,2021-01-20,TeamScore,Toronto Raptors,15,DecisionTreeRegressor,poisson,114,116.3,110.6,4.0,115.0,Over,Not conclusive,102,Incorrect,-1.0,3.1499999999999995,52.5,,,0,0,
6,2021-01-22,TeamScore,Toronto Raptors,16,DecisionTreeRegressor,poisson,114,114.75,114.1,5.0,113.5,Under,Not conclusive,101,Correct,0.83,3.9799999999999995,56.86,,,0,0,
7,2021-01-24,TeamScore,Toronto Raptors,17,DecisionTreeRegressor,poisson,111,113.38,113.5,6.0,112.8,Over,Prediction is OVER 111,107,Incorrect,-1.0,2.9799999999999995,37.25,-1.0,-1.0,1,1,-100.0
8,2021-01-25,TeamScore,Toronto Raptors,18,DecisionTreeRegressor,poisson,111,112.57,113.3,6.0,112.7,Over,Prediction is OVER 111,114,Correct,0.83,3.8099999999999996,42.33,0.83,-0.17000000000000004,1,2,-8.5
9,2021-01-27,TeamScore,Toronto Raptors,19,DecisionTreeRegressor,poisson,111,109.21,112.2,5.0,109.1,Under,Not conclusive,108,Correct,0.83,4.64,46.4,,-0.17000000000000004,0,2,-8.5
10,2021-01-29,TeamScore,Toronto Raptors,20,DecisionTreeRegressor,poisson,118,109.7,119.0,6.0,111.0,Under,Not conclusive,124,Incorrect,-1.0,3.6399999999999997,33.09,,-0.17000000000000004,0,2,-8.5
11,2021-01-31,TeamScore,Toronto Raptors,21,DecisionTreeRegressor,poisson,112,111.04,112.6,7.0,111.4,Under,Not conclusive,115,Incorrect,-1.0,2.6399999999999997,22.0,,-0.17000000000000004,0,2,-8.5
12,2021-02-02,TeamScore,Toronto Raptors,22,DecisionTreeRegressor,poisson,111,111.56,112.0,7.0,112.6,Over,Prediction is OVER 111,123,Correct,0.83,3.4699999999999998,26.69,0.83,0.6599999999999999,1,3,22.0
13,2021-02-05,TeamScore,Toronto Raptors,23,DecisionTreeRegressor,poisson,115,112.33,123.0,9.0,113.3,Under,Not conclusive,123,Incorrect,-1.0,2.4699999999999998,17.64,,0.6599999999999999,0,3,22.0
14,2021-02-06,TeamScore,Toronto Raptors,24,DecisionTreeRegressor,poisson,109,113.08,113.5,6.0,113.8,Over,Prediction is OVER 109,121,Correct,0.83,3.3,22.0,0.83,1.4899999999999998,1,4,37.25
15,2021-02-08,TeamScore,Toronto Raptors,25,DecisionTreeRegressor,poisson,109,115.24,119.3,8.0,116.4,Over,Prediction is OVER 109,128,Correct,0.83,4.13,25.81,0.83,2.32,1,5,46.4
16,2021-02-10,TeamScore,Toronto Raptors,26,DecisionTreeRegressor,poisson,120,118.3,117.6,7.0,120.0,Over,Not conclusive,137,Correct,0.83,4.96,29.18,,2.32,0,5,46.4
17,2021-02-11,TeamScore,Toronto Raptors,27,DecisionTreeRegressor,poisson,0,121.29,108.4,6.0,119.9,Over,Prediction is OVER 0,106,Correct,0.83,5.79,32.17,0.83,3.15,1,6,52.5
18,2021-02-14,TeamScore,Toronto Raptors,28,DecisionTreeRegressor,poisson,117,120.47,113.4,5.0,119.7,Over,Not conclusive,112,Incorrect,-1.0,4.79,25.21,,3.15,0,6,52.5
19,2021-02-16,TeamScore,Toronto Raptors,29,DecisionTreeRegressor,poisson,113,121.03,115.0,5.0,121.3,Over,Not conclusive,124,Correct,0.83,5.62,28.1,,3.15,0,6,52.5
20,2021-02-18,TeamScore,Toronto Raptors,30,DecisionTreeRegressor,poisson,113,120.89,113.4,4.0,119.9,Over,Not conclusive,110,Incorrect,-1.0,4.62,22.0,,3.15,0,6,52.5
21,2021-02-19,TeamScore,Toronto Raptors,31,DecisionTreeRegressor,poisson,116,120.1,114.4,5.0,117.0,Over,Not conclusive,86,Incorrect,-1.0,3.62,16.45,,3.15,0,6,52.5
22,2021-02-21,TeamScore,Toronto Raptors,32,DecisionTreeRegressor,poisson,114,116.27,115.1,6.0,115.7,Over,Prediction is OVER 114,110,Incorrect,-1.0,2.62,11.39,-1.0,2.15,1,7,30.71
23,2021-02-23,TeamScore,Toronto Raptors,33,DecisionTreeRegressor,poisson,114,114.76,114.2,5.0,113.6,Under,Not conclusive,102,Correct,0.83,3.45,14.38,,2.15,0,7,30.71
24,2021-02-24,TeamScore,Toronto Raptors,34,DecisionTreeRegressor,poisson,109,112.73,106.9,4.0,112.3,Over,Not conclusive,108,Incorrect,-1.0,2.45,9.8,,2.15,0,7,30.71
25,2021-02-26,TeamScore,Toronto Raptors,35,DecisionTreeRegressor,poisson,113,110.67,119.1,8.0,111.7,Under,Not conclusive,122,Incorrect,-1.0,1.4500000000000002,5.58,,2.15,0,7,30.71
26,2021-03-03,TeamScore,Toronto Raptors,36,DecisionTreeRegressor,poisson,0,108.85,107.8,7.0,108.5,Over,Prediction is OVER 0,105,Correct,0.83,2.2800000000000002,8.44,0.83,2.98,1,8,37.25
27,2021-03-04,TeamScore,Toronto Raptors,37,DecisionTreeRegressor,poisson,109,108.94,114.6,7.0,110.4,Over,Not conclusive,125,Correct,0.83,3.1100000000000003,11.11,,2.98,0,8,37.25
28,2021-03-11,TeamScore,Toronto Raptors,38,DecisionTreeRegressor,poisson,115,110.32,111.3,7.0,111.2,Under,Not conclusive,120,Incorrect,-1.0,2.1100000000000003,7.28,,2.98,0,8,37.25
29,2021-03-13,TeamScore,Toronto Raptors,39,DecisionTreeRegressor,poisson,113,109.72,115.6,6.0,109.2,Under,Not conclusive,104,Correct,0.83,2.9400000000000004,9.8,,2.98,0,8,37.25
30,2021-03-14,TeamScore,Toronto Raptors,40,DecisionTreeRegressor,poisson,114,108.97,110.5,4.0,107.7,Under,Prediction is UNDER 114,95,Correct,0.83,3.7700000000000005,12.16,0.83,3.81,1,9,42.33
31,2021-03-17,TeamScore,Toronto Raptors,41,DecisionTreeRegressor,poisson,111,110.13,108.5,6.0,110.3,Under,Not conclusive,112,Incorrect,-1.0,2.7700000000000005,8.66,,3.81,0,9,42.33
32,2021-03-19,TeamScore,Toronto Raptors,42,DecisionTreeRegressor,poisson,109,110.35,116.4,8.0,110.5,Over,Prediction is OVER 109,112,Correct,0.83,3.6000000000000005,10.91,0.83,4.64,1,10,46.4
33,2021-03-21,TeamScore,Toronto Raptors,43,DecisionTreeRegressor,poisson,112,111.38,106.9,4.0,110.8,Under,Prediction is UNDER 112,105,Correct,0.83,4.430000000000001,13.03,0.83,5.47,1,11,49.73
34,2021-03-22,TeamScore,Toronto Raptors,44,DecisionTreeRegressor,poisson,114,110.99,118.0,7.0,109.9,Under,Not conclusive,99,Correct,0.83,5.260000000000001,15.03,,5.47,0,11,49.73
35,2021-03-24,TeamScore,Toronto Raptors,45,DecisionTreeRegressor,poisson,111,108.82,110.2,4.0,111.2,Over,Not conclusive,135,Correct,0.83,6.090000000000001,16.92,,5.47,0,11,49.73
36,2021-03-26,TeamScore,Toronto Raptors,46,DecisionTreeRegressor,poisson,108,111.77,106.9,4.0,110.7,Over,Not conclusive,100,Incorrect,-1.0,5.090000000000001,13.76,,5.47,0,11,49.73
37,2021-03-28,TeamScore,Toronto Raptors,47,DecisionTreeRegressor,poisson,116,109.19,116.3,7.0,109.9,Under,Not conclusive,117,Incorrect,-1.0,4.090000000000001,10.76,,5.47,0,11,49.73
38,2021-03-29,TeamScore,Toronto Raptors,48,DecisionTreeRegressor,poisson,109,108.73,108.4,4.0,108.3,Under,Prediction is UNDER 109,104,Correct,0.83,4.920000000000001,12.62,0.83,6.3,1,12,52.5
39,2021-03-31,TeamScore,Toronto Raptors,49,DecisionTreeRegressor,poisson,112,108.72,117.3,8.0,108.2,Under,Not conclusive,103,Correct,0.83,5.750000000000001,14.38,,6.3,0,12,52.5
40,2021-04-02,TeamScore,Toronto Raptors,50,DecisionTreeRegressor,poisson,115,109.87,115.7,5.0,111.7,Under,Not conclusive,130,Incorrect,-1.0,4.750000000000001,11.59,,6.3,0,12,52.5
41,2021-04-05,TeamScore,Toronto Raptors,51,DecisionTreeRegressor,poisson,120,111.58,112.8,4.0,110.8,Under,Prediction is UNDER 120,103,Correct,0.83,5.580000000000001,13.29,0.83,7.13,1,13,54.85
42,2021-04-06,TeamScore,Toronto Raptors,52,DecisionTreeRegressor,poisson,107,110.57,103.7,3.0,109.7,Over,Not conclusive,101,Incorrect,-1.0,4.580000000000001,10.65,,7.13,0,13,54.85
43,2021-04-08,TeamScore,Toronto Raptors,53,DecisionTreeRegressor,poisson,115,110.25,113.1,5.0,110.5,Under,Not conclusive,113,Correct,0.83,5.410000000000001,12.3,,7.13,0,13,54.85
44,2021-04-10,TeamScore,Toronto Raptors,54,DecisionTreeRegressor,poisson,111,112.01,109.1,4.0,114.1,Over,Not conclusive,135,Correct,0.83,6.240000000000001,13.87,,7.13,0,13,54.85
45,2021-04-11,TeamScore,Toronto Raptors,55,DecisionTreeRegressor,poisson,103,111.62,101.8,2.0,110.2,Over,Not conclusive,96,Incorrect,-1.0,5.240000000000001,11.39,,7.13,0,13,54.85
46,2021-04-13,TeamScore,Toronto Raptors,56,DecisionTreeRegressor,poisson,112,111.25,113.6,4.0,110.5,Under,Not conclusive,103,Correct,0.83,6.070000000000001,12.91,,7.13,0,13,54.85
47,2021-04-14,TeamScore,Toronto Raptors,57,DecisionTreeRegressor,poisson,112,109.85,110.8,5.0,110.5,Under,Not conclusive,117,Incorrect,-1.0,5.070000000000001,10.56,,7.13,0,13,54.85
48,2021-04-16,TeamScore,Toronto Raptors,58,DecisionTreeRegressor,poisson,112,111.24,118.5,7.0,111.4,Under,Not conclusive,113,Incorrect,-1.0,4.070000000000001,8.31,,7.13,0,13,54.85
49,2021-04-18,TeamScore,Toronto Raptors,59,DecisionTreeRegressor,poisson,114,112.33,121.8,7.0,112.3,Under,Not conclusive,112,Correct,0.83,4.900000000000001,9.8,,7.13,0,13,54.85
50,2021-04-21,TeamScore,Toronto Raptors,60,DecisionTreeRegressor,poisson,115,110.37,115.1,6.0,110.7,Under,Not conclusive,114,Correct,0.83,5.730000000000001,11.24,,7.13,0,13,54.85
51,2021-04-24,TeamScore,Toronto Raptors,61,DecisionTreeRegressor,poisson,104,111.47,108.7,5.0,110.7,Over,Not conclusive,103,Incorrect,-1.0,4.730000000000001,9.1,,7.13,0,13,54.85
52,2021-04-26,TeamScore,Toronto Raptors,62,DecisionTreeRegressor,poisson,112,111.78,111.9,6.0,111.8,Under,Not conclusive,112,Incorrect,-1.0,3.7300000000000013,7.04,,7.13,0,13,54.85
53,2021-04-27,TeamScore,Toronto Raptors,63,DecisionTreeRegressor,poisson,115,111.58,113.9,6.0,110.8,Under,Not conclusive,103,Correct,0.83,4.560000000000001,8.44,,7.13,0,13,54.85
54,2021-04-29,TeamScore,Toronto Raptors,64,DecisionTreeRegressor,poisson,109,108.14,111.6,7.0,108.4,Under,Not conclusive,111,Incorrect,-1.0,3.5600000000000014,6.47,,7.13,0,13,54.85
55,2021-05-01,TeamScore,Toronto Raptors,65,DecisionTreeRegressor,poisson,107,109.7,105.4,3.0,109.0,Over,Not conclusive,102,Incorrect,-1.0,2.5600000000000014,4.57,,7.13,0,13,54.85
56,2021-05-02,TeamScore,Toronto Raptors,66,DecisionTreeRegressor,poisson,105,109.78,110.9,9.0,110.8,Over,Prediction is OVER 105,121,Correct,0.83,3.3900000000000015,5.95,0.83,7.96,1,14,56.86
57,2021-05-04,TeamScore,Toronto Raptors,67,DecisionTreeRegressor,poisson,107,110.01,106.9,4.0,109.1,Over,Not conclusive,100,Incorrect,-1.0,2.3900000000000015,4.12,,7.96,0,14,56.86
58,2021-05-06,TeamScore,Toronto Raptors,68,DecisionTreeRegressor,poisson,118,108.87,120.9,6.0,110.7,Under,Not conclusive,129,Incorrect,-1.0,1.3900000000000015,2.36,,7.96,0,14,56.86
59,2021-05-08,TeamScore,Toronto Raptors,69,DecisionTreeRegressor,poisson,112,110.44,112.3,6.0,109.4,Under,Not conclusive,99,Correct,0.83,2.2200000000000015,3.7,,7.96,0,14,56.86
60,2021-05-11,TeamScore,Toronto Raptors,70,DecisionTreeRegressor,poisson,107,108.76,105.6,5.0,107.6,Over,Not conclusive,96,Incorrect,-1.0,1.2200000000000015,2.0,,7.96,0,14,56.86
61,2021-05-13,TeamScore,Toronto Raptors,71,DecisionTreeRegressor,poisson,109,108.05,104.8,1.0,107.5,Under,Prediction is UNDER 109,102,Correct,0.83,2.0500000000000016,3.31,0.83,8.79,1,15,58.6
62,2021-05-14,TeamScore,Toronto Raptors,72,DecisionTreeRegressor,poisson,108,107.03,109.9,4.0,107.3,Under,Not conclusive,110,Incorrect,-1.0,1.0500000000000016,1.67,,8.79,0,15,58.6
