,Date,MarketPredicted,Team,GameNumber,Regressor,Estimatororneigbor,BookiePrediction,TeamAvg10Games,OpponentAvg10Games,OpponentFormOver10Games,ModelScorePrediction,ModelResultPrediction,FormulaPrediction,RealScore,SystemResult,Gamenumberfor%,TotalGames,BetReturn,RunningTotalAll,BetReturn%,BetReturnWithoutNC,RunningTotalWithoutNC,TotalConclusives,TotalConclusiveGames,BetReturnWithoutNC%
0,2021-01-08,TeamScore,Utah Jazz,10,KNeighborsRegressor,5,110,108.78,113.78,6.0,116.4,Over,Not conclusive,131,Correct,1,1,0.83,0.83,83.0,,,0,0,
1,2021-01-10,TeamScore,Utah Jazz,11,KNeighborsRegressor,5,115,110.85,115.4,6.0,109.3,Under,Not conclusive,96,Correct,1,2,0.83,1.66,83.0,,,0,0,
2,2021-01-12,TeamScore,Utah Jazz,12,KNeighborsRegressor,5,105,108.42,101.7,2.0,104.04,Under,Not conclusive,117,Incorrect,1,3,-1.0,0.6599999999999999,22.0,,,0,0,
3,2021-01-15,TeamScore,Utah Jazz,13,KNeighborsRegressor,5,112,109.07,110.7,5.0,109.14,Under,Not conclusive,116,Incorrect,1,4,-1.0,-0.3400000000000001,-8.5,,,0,0,
4,2021-01-17,TeamScore,Utah Jazz,14,KNeighborsRegressor,5,112,109.66,110.7,4.0,105.52,Under,Prediction is UNDER 112,109,Correct,1,5,0.83,0.4899999999999999,9.8,0.83,0.83,1,1,83.0
5,2021-01-19,TeamScore,Utah Jazz,15,KNeighborsRegressor,5,110,111.29,113.6,7.0,108.58,Under,Not conclusive,118,Incorrect,1,6,-1.0,-0.5100000000000001,-8.5,,0.83,0,1,83.0
6,2021-01-21,TeamScore,Utah Jazz,16,KNeighborsRegressor,5,110,112.72,117.6,8.0,110.64,Over,Prediction is OVER 110,129,Correct,1,7,0.83,0.31999999999999984,4.57,0.83,1.66,1,2,83.0
7,2021-01-23,TeamScore,Utah Jazz,17,KNeighborsRegressor,5,112,112.59,110.0,2.0,111.38,Under,Not conclusive,127,Incorrect,1,8,-1.0,-0.6800000000000002,-8.5,,1.66,0,2,83.0
8,2021-01-26,TeamScore,Utah Jazz,18,KNeighborsRegressor,5,107,115.81,101.2,4.0,111.42,Over,Not conclusive,108,Correct,1,9,0.83,0.1499999999999998,1.67,,1.66,0,2,83.0
9,2021-01-27,TeamScore,Utah Jazz,19,KNeighborsRegressor,5,112,116.77,113.1,7.0,117.54,Over,Prediction is OVER 112,116,Correct,1,10,0.83,0.9799999999999998,9.8,0.83,2.4899999999999998,1,3,83.0
10,2021-01-29,TeamScore,Utah Jazz,20,KNeighborsRegressor,5,112,115.16,115.3,8.0,114.92,Over,Prediction is OVER 112,120,Correct,1,11,0.83,1.8099999999999996,16.45,0.83,3.32,1,4,83.0
11,2021-01-31,TeamScore,Utah Jazz,21,KNeighborsRegressor,5,114,117.77,110.5,6.0,116.14,Over,Not conclusive,117,Correct,1,12,0.83,2.6399999999999997,22.0,,3.32,0,4,83.0
