,Regressor,EstimatorsorNeigbor,ContainsNotConclusivePred,Totalgames,GamesRemovedPred0,TotalCorrect,Correct,BetReturn,BetProfit,TotalOversPred,TotalOversCorrect,OversCorrect,OversBetReturn,OversProfit,TotalUndersPred,TotalUndersCorrect,UndersCorrect,UndersBetReturn,UndersProfit
0,SVR,0.2,True,1864,26,1041,55.85%,41.03,2.20%,970,553,57.01%,41.99,4.33%,894,488,54.59%,-0.959999999999999,-0.11%
1,SVR,0.2,False,451,16,302,66.96%,101.66,22.54%,284,192,67.61%,67.36,23.72%,167,110,65.87%,34.3,20.54%
2,KNeighborsRegressor,4,True,1864,26,1012,54.29%,-12.04,-0.65%,932,523,56.12%,25.09,2.69%,932,489,52.47%,-37.13,-3.98%
3,KNeighborsRegressor,4,False,356,16,245,68.82%,92.35,25.94%,215,149,69.30%,57.67,26.82%,141,96,68.09%,34.68,24.60%
4,KNeighborsRegressor,6,True,1864,26,985,52.84%,-61.45,-3.30%,931,509,54.67%,0.470000000000002,0.05%,933,476,51.02%,-61.92,-6.64%
5,KNeighborsRegressor,6,False,366,16,247,67.49%,86.01,23.50%,227,157,69.16%,60.31,26.57%,139,90,64.75%,25.7,18.49%
6,SVR,0.1,True,1864,26,1041,55.85%,41.03,2.20%,973,555,57.04%,42.65,4.38%,891,486,54.55%,-1.62,-0.18%
7,SVR,0.1,False,450,16,302,67.11%,102.66,22.81%,283,192,67.84%,68.36,24.16%,167,110,65.87%,34.3,20.54%
8,SVR,0.15,True,1864,26,1042,55.90%,42.86,2.30%,968,553,57.13%,43.99,4.54%,896,489,54.58%,-1.13,-0.13%
9,SVR,0.15,False,451,16,302,66.96%,101.66,22.54%,284,192,67.61%,67.36,23.72%,167,110,65.87%,34.3,20.54%
10,DecisionTreeRegressor,poisson,True,1864,26,1088,58.37%,127.04,6.82%,977,579,59.26%,82.57,8.45%,887,509,57.38%,44.47,5.01%
11,DecisionTreeRegressor,poisson,False,452,16,309,68.36%,113.47,25.10%,284,193,67.96%,69.19,24.36%,168,116,69.05%,44.28,26.36%
12,RandomForestRegressor,100,True,1864,26,1087,58.32%,125.21,6.72%,953,569,59.71%,88.27,9.26%,911,518,56.86%,36.94,4.05%
13,RandomForestRegressor,100,False,448,16,305,68.08%,110.15,24.59%,279,192,68.82%,72.36,25.94%,169,113,66.86%,37.79,22.36%
