,Date,MarketPredicted,Team,Game Number,Regressor,Estimatororneigbor,Bookie Prediction,TeamAvg10Games,OpponentAvg10Games,OpponentFormOver10Games,Model Score Prediction,Model Result Prediction,FormulaPrediction,Real Score,System Result
0,"4      2020/12/23
38     2020/12/26
83     2020/12/28
108    2020/12/30
134    2021/01/01
161    2021/01/02
197    2021/01/04
222    2021/01/06
262    2021/01/09
Name: Date, dtype: object",Teamscore,Atlanta Hawks,10,SVR,4,114,115.12,110.0,3.0,114.0,Over,Not conclusive,105,Incorrect
1,"4      2020/12/23
38     2020/12/26
83     2020/12/28
108    2020/12/30
134    2021/01/01
161    2021/01/02
197    2021/01/04
222    2021/01/06
262    2021/01/09
303    2021/01/11
Name: Date, dtype: object",Teamscore,Atlanta Hawks,11,SVR,4,112,114.09,108.5,5.0,113.0,Over,Not conclusive,112,Incorrect
2,"38     2020/12/26
83     2020/12/28
108    2020/12/30
134    2021/01/01
161    2021/01/02
197    2021/01/04
222    2021/01/06
262    2021/01/09
303    2021/01/11
342    2021/01/15
Name: Date, dtype: object",Teamscore,Atlanta Hawks,12,SVR,4,110,112.57,107.3,4.0,110.0,Over,Not conclusive,92,Incorrect
3,"83     2020/12/28
108    2020/12/30
134    2021/01/01
161    2021/01/02
197    2021/01/04
222    2021/01/06
262    2021/01/09
303    2021/01/11
342    2021/01/15
356    2021/01/16
Name: Date, dtype: object",Teamscore,Atlanta Hawks,13,SVR,4,115,109.41,114.5,4.0,107.0,Under,Prediction is UNDER 115,106,Correct
4,"108    2020/12/30
134    2021/01/01
161    2021/01/02
197    2021/01/04
222    2021/01/06
262    2021/01/09
303    2021/01/11
342    2021/01/15
356    2021/01/16
392    2021/01/18
Name: Date, dtype: object",Teamscore,Atlanta Hawks,14,SVR,4,118,107.01,117.2,7.0,106.93,Under,Not conclusive,108,Correct
5,"134    2021/01/01
161    2021/01/02
197    2021/01/04
222    2021/01/06
262    2021/01/09
303    2021/01/11
342    2021/01/15
356    2021/01/16
392    2021/01/18
412    2021/01/20
Name: Date, dtype: object",Teamscore,Atlanta Hawks,15,SVR,4,112,103.53,111.7,5.0,106.93,Under,Not conclusive,123,Incorrect
6,"161    2021/01/02
197    2021/01/04
222    2021/01/06
262    2021/01/09
303    2021/01/11
342    2021/01/15
356    2021/01/16
392    2021/01/18
412    2021/01/20
424    2021/01/22
Name: Date, dtype: object",Teamscore,Atlanta Hawks,16,SVR,4,118,104.45,114.4,5.0,106.93,Under,Not conclusive,116,Correct
7,"197    2021/01/04
222    2021/01/06
262    2021/01/09
303    2021/01/11
342    2021/01/15
356    2021/01/16
392    2021/01/18
412    2021/01/20
424    2021/01/22
460    2021/01/24
Name: Date, dtype: object",Teamscore,Atlanta Hawks,17,SVR,4,111,107.19,111.3,6.0,108.0,Under,Not conclusive,115,Incorrect
8,"222    2021/01/06
262    2021/01/09
303    2021/01/11
342    2021/01/15
356    2021/01/16
392    2021/01/18
412    2021/01/20
424    2021/01/22
460    2021/01/24
495    2021/01/26
Name: Date, dtype: object",Teamscore,Atlanta Hawks,18,SVR,4,107,107.89,106.3,4.0,108.0,Over,Not conclusive,108,Correct
9,"262    2021/01/09
303    2021/01/11
342    2021/01/15
356    2021/01/16
392    2021/01/18
412    2021/01/20
424    2021/01/22
460    2021/01/24
495    2021/01/26
511    2021/01/27
Name: Date, dtype: object",Teamscore,Atlanta Hawks,19,SVR,4,117,109.63,121.2,9.0,110.0,Under,Not conclusive,128,Incorrect
10,"303    2021/01/11
342    2021/01/15
356    2021/01/16
392    2021/01/18
412    2021/01/20
424    2021/01/22
460    2021/01/24
495    2021/01/26
511    2021/01/27
530    2021/01/29
Name: Date, dtype: object",Teamscore,Atlanta Hawks,20,SVR,4,118,112.04,120.3,6.0,113.5,Under,Not conclusive,116,Correct
11,"342    2021/01/15
356    2021/01/16
392    2021/01/18
412    2021/01/20
424    2021/01/22
460    2021/01/24
495    2021/01/26
511    2021/01/27
530    2021/01/29
589    2021/02/01
Name: Date, dtype: object",Teamscore,Atlanta Hawks,21,SVR,4,106,112.31,102.9,4.0,111.5,Over,Not conclusive,99,Incorrect
12,"356    2021/01/16
392    2021/01/18
412    2021/01/20
424    2021/01/22
460    2021/01/24
495    2021/01/26
511    2021/01/27
530    2021/01/29
589    2021/02/01
619    2021/02/03
Name: Date, dtype: object",Teamscore,Atlanta Hawks,22,SVR,4,113,113.25,116.8,9.0,115.13,Over,Prediction is OVER 113,116,Correct
13,"392    2021/01/18
412    2021/01/20
424    2021/01/22
460    2021/01/24
495    2021/01/26
511    2021/01/27
530    2021/01/29
589    2021/02/01
619    2021/02/03
637    2021/02/04
Name: Date, dtype: object",Teamscore,Atlanta Hawks,23,SVR,4,107,114.1,105.6,4.0,115.13,Over,Not conclusive,91,Incorrect
14,"412    2021/01/20
424    2021/01/22
460    2021/01/24
495    2021/01/26
511    2021/01/27
530    2021/01/29
589    2021/02/01
619    2021/02/03
637    2021/02/04
677    2021/02/06
Name: Date, dtype: object",Teamscore,Atlanta Hawks,24,SVR,4,112,112.64,112.3,5.0,115.65,Over,Not conclusive,132,Correct
15,"424    2021/01/22
460    2021/01/24
495    2021/01/26
511    2021/01/27
530    2021/01/29
589    2021/02/01
619    2021/02/03
637    2021/02/04
677    2021/02/06
718    2021/02/10
Name: Date, dtype: object",Teamscore,Atlanta Hawks,25,SVR,4,114,113.48,121.8,9.0,115.65,Over,Not conclusive,117,Correct
16,"460    2021/01/24
495    2021/01/26
511    2021/01/27
530    2021/01/29
589    2021/02/01
619    2021/02/03
637    2021/02/04
677    2021/02/06
718    2021/02/10
767    2021/02/12
Name: Date, dtype: object",Teamscore,Atlanta Hawks,26,SVR,4,114,113.56,112.8,5.0,115.27,Over,Not conclusive,114,Incorrect
17,"495    2021/01/26
511    2021/01/27
530    2021/01/29
589    2021/02/01
619    2021/02/03
637    2021/02/04
677    2021/02/06
718    2021/02/10
767    2021/02/12
775    2021/02/13
Name: Date, dtype: object",Teamscore,Atlanta Hawks,27,SVR,4,115,113.44,110.9,5.0,114.96,Under,Not conclusive,113,Correct
18,"511    2021/01/27
530    2021/01/29
589    2021/02/01
619    2021/02/03
637    2021/02/04
677    2021/02/06
718    2021/02/10
767    2021/02/12
775    2021/02/13
798    2021/02/15
Name: Date, dtype: object",Teamscore,Atlanta Hawks,28,SVR,4,103,113.98,104.4,5.0,114.94,Over,Not conclusive,112,Correct
19,"530    2021/01/29
589    2021/02/01
619    2021/02/03
637    2021/02/04
677    2021/02/06
718    2021/02/10
767    2021/02/12
775    2021/02/13
798    2021/02/15
824    2021/02/17
Name: Date, dtype: object",Teamscore,Atlanta Hawks,29,SVR,4,107,112.32,109.9,7.0,114.94,Over,Prediction is OVER 107,122,Correct
20,"589    2021/02/01
619    2021/02/03
637    2021/02/04
677    2021/02/06
718    2021/02/10
767    2021/02/12
775    2021/02/13
798    2021/02/15
824    2021/02/17
850    2021/02/19
Name: Date, dtype: object",Teamscore,Atlanta Hawks,30,SVR,4,107,112.85,110.1,8.0,113.5,Over,Prediction is OVER 107,109,Correct
21,"619    2021/02/03
637    2021/02/04
677    2021/02/06
718    2021/02/10
767    2021/02/12
775    2021/02/13
798    2021/02/15
824    2021/02/17
850    2021/02/19
888    2021/02/21
Name: Date, dtype: object",Teamscore,Atlanta Hawks,31,SVR,4,113,114.09,112.1,6.0,115.05,Over,Not conclusive,123,Correct
